gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000083312.17,399.320054908971,399.320054908971,0,399.320054908971,72
ENSG00000129128.12,397.663146369774,397.663146369774,0,397.663146369774,72
ENSG00000152683.14,397.555317654685,397.555317654685,0,397.555317654685,72
ENSG00000131507.10,395.979223750595,395.979223750595,0,395.979223750595,72
ENSG00000126581.12,395.722058309621,395.722058309621,0,395.722058309621,72
ENSG00000112679.14,395.53722800895,395.53722800895,0,395.53722800895,72
ENSG00000117222.13,395.307284001707,395.307284001707,0,395.307284001707,72
ENSG00000183530.13,395.110209133914,395.110209133914,0,395.110209133914,72
ENSG00000161021.11,394.073690206836,394.073690206836,0,394.073690206836,72
ENSG00000169118.17,393.692505245742,393.692505245742,0,393.692505245742,72
ENSG00000114573.9,392.857717207332,392.857717207332,0,392.857717207332,72
ENSG00000143207.19,392.722498485046,392.722498485046,0,392.722498485046,72
ENSG00000170633.16,391.528074481487,391.528074481487,0,391.528074481487,72
ENSG00000137845.14,391.141322266303,391.141322266303,0,391.141322266303,72
ENSG00000123684.12,391.096646549164,391.096646549164,0,391.096646549164,72
ENSG00000197442.9,390.871144450333,390.871144450332,5.6843418860808e-14,390.871144450332,72
ENSG00000162819.11,390.743463708597,390.743463708597,0,390.743463708597,72
ENSG00000164609.9,389.756895170235,389.756895170235,5.6843418860808e-14,389.756895170235,72
ENSG00000142867.12,389.529646700477,389.529646700477,0,389.529646700477,72
ENSG00000164941.13,389.248807835189,389.248807835188,1.13686837721616e-13,389.248807835188,72
ENSG00000133704.9,388.760923555017,388.760923555017,0,388.760923555017,72
ENSG00000062650.17,388.559322085557,388.559322085557,0,388.559322085557,72
ENSG00000225733.5,387.814605375354,387.814605375354,0,387.814605375354,72
ENSG00000084093.16,387.54469151575,387.54469151575,0,387.54469151575,72
ENSG00000101343.14,386.662073919739,386.662073919739,0,386.662073919739,72
ENSG00000114098.17,384.961503951034,384.961503951034,0,384.961503951034,72
ENSG00000183475.12,384.868330792171,384.868330792171,0,384.868330792171,72
ENSG00000082701.14,384.239753348592,384.239753348592,0,384.239753348592,72
ENSG00000122545.18,384.13595320151,384.13595320151,0,384.13595320151,72
ENSG00000170876.7,383.948033998779,383.948033998779,0,383.948033998779,72
ENSG00000183726.10,383.441196158619,383.441196158619,0,383.441196158619,72
ENSG00000062725.9,383.111245890471,383.111245890471,0,383.111245890471,72
ENSG00000117153.15,382.380579673191,382.380579673191,0,382.380579673191,72
ENSG00000079950.13,382.061803411196,382.061803411196,0,382.061803411196,72
ENSG00000164074.14,380.947158024222,380.947158024222,0,380.947158024222,72
ENSG00000113384.13,379.841992405683,379.841992405683,0,379.841992405683,72
ENSG00000118197.13,379.526329740185,379.526329740185,0,379.526329740185,72
ENSG00000078140.13,378.439581529541,378.439581529541,5.6843418860808e-14,378.439581529541,72
ENSG00000117614.9,378.296864088791,378.296864088791,0,378.296864088791,72
ENSG00000171109.18,378.134191820027,378.134191820027,0,378.134191820027,72
ENSG00000112697.15,377.596709944671,377.596709944671,0,377.596709944671,72
ENSG00000113194.12,375.702848856711,375.702848856711,0,375.702848856711,72
ENSG00000104388.14,375.220700783258,375.220700783258,0,375.220700783258,72
ENSG00000114331.13,375.217168955705,375.217168955705,0,375.217168955705,72
ENSG00000157916.19,375.201172345333,375.201172345333,0,375.201172345333,72
ENSG00000029364.11,375.105509564479,375.105509564479,0,375.105509564479,72
ENSG00000112855.14,374.932221919677,374.932221919677,0,374.932221919677,72
ENSG00000028528.14,374.875333091822,374.875333091822,0,374.875333091822,72
ENSG00000177885.13,374.689652915246,374.689652915246,0,374.689652915246,72
ENSG00000066777.8,374.094899050544,374.094899050544,0,374.094899050544,72
ENSG00000198663.16,373.907004665917,373.907004665917,0,373.907004665917,72
ENSG00000240682.9,373.351082677814,373.351082677814,0,373.351082677814,72
ENSG00000140157.14,373.226901623252,373.226901623252,0,373.226901623252,72
ENSG00000182400.14,372.311930266008,372.311930266008,0,372.311930266008,72
ENSG00000047056.14,372.123498818354,372.123498818354,0,372.123498818354,72
ENSG00000198001.13,372.077373878883,372.077373878883,0,372.077373878883,72
ENSG00000165678.20,371.508915013561,371.508915013561,0,371.508915013561,72
ENSG00000119414.11,371.254221500182,371.254221500182,0,371.254221500182,72
ENSG00000112282.17,370.405746157087,370.405746157087,0,370.405746157087,72
ENSG00000065135.10,370.348880639145,370.348880639145,0,370.348880639145,72
ENSG00000101126.15,369.672021296341,369.672021296341,0,369.672021296341,72
ENSG00000124783.12,369.645942837139,369.645942837139,0,369.645942837139,72
ENSG00000036054.12,369.240002462429,369.240002462429,0,369.240002462429,72
ENSG00000138459.8,368.956832775425,368.956832775425,0,368.956832775425,72
ENSG00000115145.9,368.763072905013,368.763072905013,0,368.763072905013,72
ENSG00000188938.15,368.647000784753,368.647000784753,0,368.647000784753,72
ENSG00000256683.6,368.340437745994,368.340437745994,0,368.340437745994,72
ENSG00000118873.15,368.337122521929,368.337122521929,0,368.337122521929,72
