gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000144233.9,312.2407873,179.176968,133.0638193,46.11314875,72
ENSG00000119414.11,311.6833335,257.2365767,54.44675684,202.7898198,72
ENSG00000066777.8,311.5664508,255.974681,55.59176986,200.3829111,72
ENSG00000135387.20,311.3120346,216.6649873,94.64704733,122.0179399,34
ENSG00000090989.17,311.1308093,292.6263701,18.50443916,274.1219309,72
ENSG00000064726.9,310.9214298,192.0354444,118.8859853,73.14945908,34
ENSG00000113593.11,310.887355,235.6119373,75.27541764,160.3365197,72
ENSG00000121892.14,310.7990154,267.6854152,43.11360019,224.571815,34
ENSG00000144048.10,310.5495368,249.9574946,60.59204212,189.3654525,72
ENSG00000158604.14,310.4821211,219.7037559,90.77836518,128.9253907,34
ENSG00000083642.18,310.0696135,261.6511376,48.41847592,213.2326616,72
ENSG00000139726.10,310.0365386,155.8460168,154.1905218,1.655494965,34
ENSG00000145191.12,309.7093852,305.1737875,4.535597635,300.6381899,34
ENSG00000101413.11,309.1579668,211.6718846,97.48608219,114.1858024,72
ENSG00000278311.4,309.1331774,272.6775424,36.45563508,236.2219073,72
ENSG00000120616.15,308.8893387,241.842427,67.04691172,174.7955152,72
ENSG00000136937.12,308.8046695,234.4803435,74.324326,160.1560175,34
ENSG00000062725.9,308.7066479,266.6806051,42.02604284,224.6545622,72
ENSG00000108587.15,308.6400623,231.1020212,77.53804108,153.5639801,72
ENSG00000112282.17,308.5150149,256.5920141,51.92300082,204.6690133,72
ENSG00000105778.18,308.4031474,284.5904472,23.81270026,260.7777469,72
ENSG00000129515.18,308.2241544,289.4429206,18.78123381,270.6616868,72
ENSG00000111530.12,308.2188294,252.9546546,55.26417479,197.6904798,34
ENSG00000114503.10,308.0955612,273.162244,34.93331724,238.2289267,34
ENSG00000163867.16,307.3407516,143.1944721,164.1462795,-20.95180745,34
ENSG00000113575.9,307.3295254,253.8030969,53.5264285,200.2766684,72
ENSG00000157500.10,307.3029221,184.1552013,123.1477207,61.00748061,34
ENSG00000163946.13,307.1595137,237.2116718,69.94784192,167.2638299,72
ENSG00000012963.14,307.0323171,139.2179855,167.8143316,-28.59634605,34
ENSG00000184787.18,306.8771505,294.9595828,11.91756772,283.0420151,34
ENSG00000161021.11,306.6227524,260.5249002,46.09785222,214.427048,72
ENSG00000084093.16,306.5237487,248.7383695,57.78537918,190.9529903,72
ENSG00000110066.14,306.219318,272.2540455,33.96527253,238.288773,72
ENSG00000092148.12,306.0461386,182.7979455,123.2481931,59.54975243,72
ENSG00000163848.19,305.7248902,288.5642066,17.16068358,271.403523,72
ENSG00000117222.13,305.6858544,249.8463606,55.83949383,194.0068667,72
ENSG00000151923.17,304.8763447,164.3847602,140.4915845,23.89317573,34
ENSG00000145907.14,304.4395796,243.1411826,61.29839698,181.8427857,34
ENSG00000110429.13,304.0926487,199.4127473,104.6799013,94.73284598,72
ENSG00000029364.11,303.9462852,240.3291006,63.61718452,176.7119161,72
ENSG00000176953.12,303.8317466,292.8506841,10.98106249,281.8696216,34
ENSG00000115524.15,303.5795495,241.3538036,62.22574587,179.1280577,72
ENSG00000225733.5,303.5171669,264.9389533,38.57821367,226.3607396,72
ENSG00000100201.20,303.4579427,242.8831,60.57484263,182.3082574,72
ENSG00000198663.16,303.1934341,253.7766726,49.41676145,204.3599112,72
ENSG00000170633.16,302.8247431,259.472594,43.35214914,216.1204449,72
ENSG00000112592.13,302.5673821,138.9370644,163.6303178,-24.69325341,34
ENSG00000100030.14,302.4458348,289.1896318,13.25620295,275.9334289,72
ENSG00000135090.13,302.4308419,206.0253628,96.40547908,109.6198837,72
ENSG00000253719.3,302.4261289,172.6543487,129.7717801,42.88256862,34
ENSG00000164151.11,301.7754784,207.21714,94.5583384,112.6588016,34
ENSG00000168438.14,301.6826983,272.8186347,28.86406362,243.9545711,72
ENSG00000153560.11,301.6753391,193.0350041,108.640335,84.39466917,34
ENSG00000166181.12,301.6161754,161.6894047,139.9267706,21.7626341,34
ENSG00000078747.14,301.2211318,227.2766985,73.94443327,153.3322653,72
ENSG00000108443.13,300.2435749,190.8449322,109.3986427,81.44628955,34
ENSG00000113712.17,300.1772513,222.7412991,77.43595213,145.305347,72
ENSG00000169118.17,300.1184581,248.5175639,51.60089414,196.9166698,72
ENSG00000170852.10,300.00514,276.770413,23.23472703,253.5356859,72
ENSG00000164024.11,299.9624201,276.0973907,23.86502941,252.2323613,34
ENSG00000149313.10,299.8078109,165.5166117,134.2911992,31.22541251,72
ENSG00000119616.11,299.6892674,209.6515487,90.03771872,119.61383,72
ENSG00000183530.13,299.5857972,259.9533908,39.6324064,220.3209844,72
ENSG00000080815.18,299.4962596,278.9222455,20.57401409,258.3482314,72
ENSG00000135974.9,299.3627022,236.2916301,63.07107208,173.2205581,72
ENSG00000133704.9,299.3143804,251.0375767,48.27680376,202.7607729,72
ENSG00000119844.15,299.0398803,241.6124327,57.42744755,184.1849852,72
ENSG00000164168.7,298.9642048,231.701101,67.26310381,164.4379972,72
ENSG00000139746.15,298.5525034,130.9599672,167.5925363,-36.6325691,72
ENSG00000211456.10,298.4055398,215.263582,83.14195788,132.1216241,72
ENSG00000198791.11,298.1545128,165.4695404,132.6849724,32.78456799,72
ENSG00000156256.14,297.8283602,177.1319163,120.6964439,56.43547232,72
ENSG00000113441.15,297.8143279,168.9189843,128.8953436,40.02364078,72
ENSG00000129071.9,297.7336046,267.2308623,30.50274226,236.7281201,72
