gene_id,module,kTotal_input,kWithin_input,kOut_input,kDiff_input,kTotal_output,kWithin_output,kOut_output,kDiff_output,gene
ENSG00000007402.11,34,47.48041065,47.43232508,0.048085575,47.3842395,47.43232508,47.43232508,0,47.43232508,CACNA2D2
ENSG00000007520.3,34,71.69260761,38.77852396,32.91408365,5.864440308,38.77852396,38.77852396,0,38.77852396,TSR3
ENSG00000007545.15,34,135.498049,113.3196165,22.17843245,91.14118409,113.3196165,113.3196165,0,113.3196165,CRAMP1
ENSG00000007923.15,34,220.7248791,216.2947531,4.430126001,211.8646271,216.2947531,216.2947531,0,216.2947531,DNAJC11
ENSG00000007944.14,72,48.22098393,43.97291533,4.248068602,39.72484672,136.6650101,136.6650101,0,136.6650101,MYLIP
ENSG00000008018.8,34,141.9346308,80.62737914,61.30725168,19.32012746,80.62737914,80.62737914,0,80.62737914,PSMB1
ENSG00000008083.13,34,48.22949352,38.35525564,9.874237888,28.48101775,38.35525564,38.35525564,0,38.35525564,JARID2
ENSG00000008130.15,72,166.6000164,156.2970093,10.30300717,145.9940021,258.0817856,258.0817856,0,258.0817856,NADK
ENSG00000008282.8,72,229.013274,145.9303869,83.08288714,62.84749972,243.3315542,243.3315542,0,243.3315542,SYPL1
ENSG00000008283.15,34,51.20048084,51.13434811,0.066132729,51.06821538,51.13434811,51.13434811,0,51.13434811,CYB561
ENSG00000008294.20,34,63.06990608,24.71732962,38.35257645,-13.63524683,24.71732962,24.71732962,0,24.71732962,SPAG9
ENSG00000008324.11,34,41.61545882,35.56961224,6.045846585,29.52376565,35.56961224,35.56961224,0,35.56961224,SS18L2
ENSG00000008382.15,34,42.37377772,42.24563644,0.128141283,42.11749515,42.24563644,42.24563644,0,42.24563644,MPND
ENSG00000008405.11,34,87.1497338,85.96218723,1.187546574,84.77464065,85.96218723,85.96218723,0,85.96218723,CRY1
ENSG00000008513.14,34,46.93902135,42.49444899,4.44457236,38.04987663,42.49444899,42.49444899,0,42.49444899,ST3GAL1
ENSG00000008516.16,72,74.4590568,73.37356094,1.085495858,72.28806508,153.1113869,153.1113869,2.84E-14,153.1113869,MMP25
ENSG00000008517.16,34,23.39292505,23.38874326,0.004181799,23.38456146,23.38874326,23.38874326,0,23.38874326,IL32
ENSG00000008710.19,34,153.285566,152.8158736,0.469692319,152.3461813,152.8158736,152.8158736,0,152.8158736,PKD1
ENSG00000008838.19,34,187.8831176,186.9264553,0.956662319,185.969793,186.9264553,186.9264553,0,186.9264553,MED24
ENSG00000008869.11,72,203.4418804,65.87206954,137.5698108,-71.69774128,115.110238,115.110238,0,115.110238,HEATR5B
