X,X_apo
0.072722,0.066024
0.136784,0.08578
0.063699,1e-06
0.026219,0.077893
0.047357,1e-06
0.083573,0.045527
0.043197,0.092676
1e-06,0.017694
0.115287,0.009343
0.065692,0.010238
0.054146,0.068314
0.109636,1e-06
0.049809,0.039256
0.178992,1e-06
0.118903,0.044337
0.137911,0.050749
0.087089,0.018269
0.130618,0.053076
0.044995,0.045471
0.028364,0.053405
0.062066,0.098552
0.170793,0.079534
0.055784,0.112841
0.067948,0.081976
0.004414,0.121245
0.025238,0.016436
0.120027,0.073592
1e-06,0.136681
0.056347,0.058095
0.063493,0.152145
0.01182,0.057852
1e-06,0.038216
0.037442,0.044255
0.079406,0.04621
0.10055,0.02668
0.140538,1e-06
0.024901,0.008189
0.043931,0.136136
0.030089,0.057372
0.033668,0.070441
1e-06,0.058218
1e-06,0.073017
1e-06,0.141556
0.13385,0.10562
0.0917,0.121019
0.076529,0.081853
0.158795,0.137223
0.085893,0.04807
0.09599,0.001532
1e-06,0.055105
0.079022,1e-06
0.092173,0.171401
0.048786,0.055485
0.09557,0.057305
0.047521,0.005408
0.185946,0.031882
0.101927,0.109016
0.142043,0.027012
0.138854,0.053713
0.001115,0.04682
0.061999,0.007365
0.20453,1e-06
0.14057,1e-06
0.17541,0.088502
0.130654,0.04975
0.16423,0.088694
0.181346,0.108708
0.057545,0.046979
0.07147,0.034181
0.099316,0.030874
0.076148,0.051385
0.104026,1e-06
0.11335,0.010314
0.094681,0.002262
0.080056,0.121867
0.111604,0.076445
1e-06,0.057272
0.142914,0.159048
0.127667,0.089063
0.084708,0.098568
0.149317,0.020778
1e-06,0.063399
0.043239,0.064494
0.20569,0.046351
0.038298,0.089126
0.041286,0.051346
0.061624,0.152927
0.051389,0.07768
0.075808,0.086553
0.006789,0.119204
0.001113,0.013014
0.072088,0.049533
0.098678,0.054798
0.121753,0.171624
0.094167,0.112921
0.189622,0.124651
1e-06,0.104336
0.127405,0.096669
1e-06,0.153548
0.08793,0.052624
0.022011,0.064427
0.014318,0.097368
0.002025,0.073669
0.060697,0.094069
0.019694,0.119618
0.081287,0.08622
0.006191,0.093311
0.049888,0.104125
0.132923,1e-06
0.160403,0.146956
0.066636,0.117787
0.118343,0.066988
0.088285,0.094352
0.012905,1e-06
0.088995,0.026334
1e-06,0.12522
0.063358,1e-06
0.023281,0.048905
1e-06,0.045971
0.043087,0.041333
0.050821,0.052845
0.036885,0.067867
0.160536,0.01876
0.088894,0.025154
0.10344,0.06321
0.183413,0.079954
0.096634,0.124297
1e-06,0.080158
1e-06,0.182246
0.016606,1e-06
0.064433,0.140873
0.085152,1e-06
0.03163,0.067895
0.026401,0.017066
0.039159,0.027409
0.086825,0.01173
0.08944,0.002472
0.019165,0.036485
0.122804,0.013368
0.149164,0.085511
0.041661,1e-06
0.092318,0.029843
0.082356,0.125608
0.033183,0.112882
0.092053,0.059837
0.102168,0.100865
0.118282,0.08755
0.119974,0.013226
0.150964,0.011599
0.03291,0.073757
0.125592,1e-06
0.062767,0.01756
0.188662,1e-06
0.077825,0.033257
0.117414,0.058097
0.078767,0.020155
0.116401,0.132486
0.02884,0.064063
0.020129,0.102482
0.056166,0.172249
0.137271,0.065162
0.100744,0.098518
0.045482,0.003292
0.010969,1e-06
0.091021,0.01791
0.093401,0.058071
0.045016,0.069886
0.162986,0.020604
0.071753,0.0301
0.017981,0.026644
0.016758,0.073417
0.134279,0.023542
1e-06,0.115846
0.035443,0.125516
0.019936,0.074243
0.100771,0.085352
0.112254,0.093876
0.0695,0.036583
0.063302,0.080519
0.012225,0.113336
0.017798,0.123335
0.052869,0.125057
0.045265,0.118269
0.050293,0.023023
0.085624,0.119337
1e-06,0.04564
1e-06,0.138134
0.046748,0.074184
0.124895,0.102951
0.014296,0.072331
0.045597,0.110558
0.109255,0.052307
0.05612,0.006873
1e-06,0.049464
0.059322,0.142318
0.025149,0.086016
0.077586,0.04441
0.078176,1e-06
0.042256,0.051998
0.072706,0.08395
0.079007,0.029201
0.058754,0.043616
0.048749,0.153775
0.067318,0.083417
0.040466,1e-06
0.058514,0.043511
0.082412,0.143287
0.140028,1e-06
0.069659,0.032339
0.034446,0.038122
0.052967,0.095687
1e-06,0.122964
0.038531,0.096645
0.194452,0.055111
0.076151,0.024168
0.116348,0.030893
0.014977,0.040506
0.132344,0.061338
0.043317,0.053057
0.134864,0.071593
1e-06,0.002699
0.054787,1e-06
0.054322,0.05019
0.077455,0.128349
0.049624,0.012602
0.055773,0.042974
0.019916,0.100328
1e-06,0.066311
0.177913,1e-06
0.068911,0.043361
0.096456,0.018134
0.026101,0.062712
0.108147,0.052422
0.048734,0.036349
0.07628,0.073792
0.155804,0.087173
0.064462,0.053746
0.034026,0.034407
0.176772,0.074081
0.016744,0.072834
0.122464,0.064239
0.089294,0.088042
0.139955,0.131132
0.096287,0.057569
1e-06,0.019681
1e-06,0.044466
1e-06,1e-06
0.035354,0.046793
0.007375,0.174417
1e-06,0.084347
0.092346,0.11531
0.096908,1e-06
0.002331,0.124669
0.067617,0.016266
0.045494,0.040422
0.144083,0.059252
0.098483,0.014598
0.121573,0.050696
0.004183,0.059715
0.058342,0.069861
0.215283,0.061283
0.093942,0.068553
0.082032,0.021407
0.049937,1e-06
0.058806,0.167556
0.03923,0.074421
0.104471,0.095815
1e-06,0.057871
0.058173,0.019396
0.039157,0.081586
0.097229,0.049999
0.046269,0.103942
0.053112,0.177356
1e-06,0.064023
0.111876,0.036577
0.151753,0.168052
1e-06,0.031076
0.097948,0.041005
0.098943,0.095088
0.011417,0.157414
0.055302,0.107844
0.011512,1e-06
0.054001,0.001325
0.114828,1e-06
0.149727,0.002786
0.045921,1e-06
0.08909,1e-06
0.047267,0.067267
0.168011,0.086986
0.024213,0.012771
0.011014,0.066196
0.068288,0.043534
0.007365,0.147173
0.052478,0.103237
1e-06,0.115717
0.078686,0.008848
0.05096,0.02089
0.16515,0.109603
0.16119,0.081569
0.20043,0.077312
0.0916,0.024537
0.070399,0.061118
0.134024,0.058414
1e-06,0.098116
0.073794,1e-06
0.01827,0.05718
0.016255,0.017792
1e-06,0.107176
0.019631,0.06297
0.04058,0.027322
0.076449,1e-06
0.008257,0.100425
0.039711,0.149682
0.101141,1e-06
0.052368,0.074013
1e-06,0.108971
0.028517,0.030849
0.066477,0.069376
0.049354,0.016966
0.014533,0.043916
0.082196,0.109094
0.058195,0.157708
1e-06,0.063642
0.044592,0.105627
0.106917,0.035279
0.01768,0.19119
0.066232,0.023913
0.083231,0.008101
0.166027,0.073655
0.013657,1e-06
0.13095,0.04193
0.080307,1e-06
0.062991,0.069501
1e-06,0.059972
0.043809,0.125254
0.049945,0.136485
0.09115,0.130199
0.156946,0.088543
0.001597,0.091907
0.196956,0.126816
0.040206,1e-06
0.08747,0.084579
1e-06,0.062228
0.065907,1e-06
0.027032,0.008218
0.039218,0.029151
0.097356,0.033162
0.096349,0.057764
0.061518,0.005024
0.061524,0.034614
0.067727,0.092343
0.029482,0.063176
0.067011,1e-06
0.157003,0.014023
0.155791,0.061539
0.057162,0.057203
0.000698,0.017874
0.005792,0.081661
0.082703,0.046963
0.120164,1e-06
0.033835,0.042081
0.066969,0.115126
0.030891,0.023464
0.044665,0.075843
0.153289,0.138978
0.04488,0.164381
0.069496,0.005378
0.071138,0.137797
1e-06,0.057485
0.003637,0.064442
0.040646,1e-06
1e-06,0.044957
0.051153,0.04307
0.124803,0.098562
1e-06,0.142996
0.023993,1e-06
0.119121,0.173942
0.176311,0.045856
0.049777,0.116248
0.015427,0.004023
1e-06,0.052229
0.05031,0.010496
0.053402,0.038324
0.04831,0.093183
0.000923,0.065636
0.036821,0.063606
1e-06,0.072577
0.12957,0.073227
0.085523,0.040596
0.024565,0.044292
1e-06,0.148464
0.14543,0.176137
0.05573,0.052902
0.05582,0.002197
0.081064,0.02109
0.070977,0.058377
0.115521,0.05951
0.087698,0.057661
0.057915,0.067655
0.00782,0.031131
0.045481,0.047479
0.052813,0.144675
0.094963,0.020865
0.053592,0.070366
0.070743,0.074361
0.088051,1e-06
0.154489,1e-06
1e-06,0.037379
0.116199,1e-06
0.094967,0.063615
0.150197,0.119801
0.047301,1e-06
0.092009,0.027569
0.092932,0.112613
0.042104,0.107093
1e-06,0.055923
0.046543,0.001389
0.044401,1e-06
