File_name,Source,Variance(value),SE
X_apo.ENSG00000031698.12.hsq,V(G)/Vp,0.095970,0.064622
X_apo.ENSG00000031823.14.hsq,V(G)/Vp,0.043340,0.057697
X_apo.ENSG00000032389.12.hsq,V(G)/Vp,0.093186,0.067050
X_apo.ENSG00000033011.11.hsq,V(G)/Vp,0.136829,0.060949
X_apo.ENSG00000033050.7.hsq,V(G)/Vp,0.156944,0.068249
X_apo.ENSG00000033170.16.hsq,V(G)/Vp,0.139682,0.070530
X_apo.ENSG00000033867.16.hsq,V(G)/Vp,0.101664,0.065765
X_apo.ENSG00000034053.14.hsq,V(G)/Vp,0.046478,0.057519
X_apo.ENSG00000034510.5.hsq,V(G)/Vp,0.055283,0.046475
X_apo.ENSG00000034677.12.hsq,V(G)/Vp,0.034190,0.049090
X_apo.ENSG00000034693.14.hsq,V(G)/Vp,0.091493,0.062741
X_apo.ENSG00000035115.21.hsq,V(G)/Vp,0.101520,0.064880
X_apo.ENSG00000035141.7.hsq,V(G)/Vp,0.027453,0.047839
X_apo.ENSG00000035687.9.hsq,V(G)/Vp,0.001767,0.045625
X_apo.ENSG00000035928.15.hsq,V(G)/Vp,0.078831,0.062370
X_apo.ENSG00000036549.12.hsq,V(G)/Vp,0.082850,0.064214
X_apo.ENSG00000037474.14.hsq,V(G)/Vp,0.116615,0.063912
X_apo.ENSG00000037637.10.hsq,V(G)/Vp,0.055663,0.061560
X_apo.ENSG00000037757.13.hsq,V(G)/Vp,0.040358,0.062624
X_apo.ENSG00000038210.12.hsq,V(G)/Vp,0.093282,0.067883
X_apo.ENSG00000038358.14.hsq,V(G)/Vp,0.010819,0.037438
X_apo.ENSG00000038532.14.hsq,V(G)/Vp,0.124807,0.072404
X_apo.ENSG00000039123.15.hsq,V(G)/Vp,0.093982,0.059573
X_apo.ENSG00000039650.11.hsq,V(G)/Vp,0.001490,0.035875
X_apo.ENSG00000040487.12.hsq,V(G)/Vp,0.083942,0.058019
X_apo.ENSG00000040531.14.hsq,V(G)/Vp,0.086834,0.055921
X_apo.ENSG00000041802.10.hsq,V(G)/Vp,0.110151,0.070535
X_apo.ENSG00000041880.14.hsq,V(G)/Vp,0.000001,0.046429
X_apo.ENSG00000041988.15.hsq,V(G)/Vp,0.069536,0.052186
X_apo.ENSG00000042088.13.hsq,V(G)/Vp,0.046421,0.063163
X_apo.ENSG00000043514.15.hsq,V(G)/Vp,0.154125,0.068532
X_apo.ENSG00000044090.8.hsq,V(G)/Vp,0.161986,0.072416
X_apo.ENSG00000047188.15.hsq,V(G)/Vp,0.073423,0.054111
X_apo.ENSG00000047346.12.hsq,V(G)/Vp,0.061968,0.062059
X_apo.ENSG00000047365.11.hsq,V(G)/Vp,0.127908,0.062002
X_apo.ENSG00000047621.11.hsq,V(G)/Vp,0.149170,0.069680
X_apo.ENSG00000047849.21.hsq,V(G)/Vp,0.091736,0.064746
X_apo.ENSG00000048028.11.hsq,V(G)/Vp,0.070412,0.062477
X_apo.ENSG00000111364.15.hsq,V(G)/Vp,0.108491,0.069793
X_apo.ENSG00000048162.20.hsq,V(G)/Vp,0.114493,0.057560
X_apo.ENSG00000048405.9.hsq,V(G)/Vp,0.010427,0.045612
X_apo.ENSG00000048471.13.hsq,V(G)/Vp,0.019601,0.061242
X_apo.ENSG00000048544.5.hsq,V(G)/Vp,0.079095,0.070452
X_apo.ENSG00000048991.16.hsq,V(G)/Vp,0.000001,0.043622
X_apo.ENSG00000049167.13.hsq,V(G)/Vp,0.038760,0.046829
X_apo.ENSG00000049245.12.hsq,V(G)/Vp,0.000001,0.041557
X_apo.ENSG00000049449.8.hsq,V(G)/Vp,0.041338,0.056114
X_apo.ENSG00000049541.10.hsq,V(G)/Vp,0.000001,0.059688
X_apo.ENSG00000049618.22.hsq,V(G)/Vp,0.106692,0.073831
X_apo.ENSG00000049656.13.hsq,V(G)/Vp,0.048361,0.046169
X_apo.ENSG00000050405.13.hsq,V(G)/Vp,0.049628,0.052779
X_apo.ENSG00000050426.15.hsq,V(G)/Vp,0.008592,0.044311
X_apo.ENSG00000050748.17.hsq,V(G)/Vp,0.129294,0.073296
X_apo.ENSG00000115364.13.hsq,V(G)/Vp,0.115946,0.063405
X_apo.ENSG00000051825.14.hsq,V(G)/Vp,0.079375,0.064745
X_apo.ENSG00000052795.12.hsq,V(G)/Vp,0.000001,0.041344
X_apo.ENSG00000052841.14.hsq,V(G)/Vp,0.066033,0.059331
X_apo.ENSG00000053254.15.hsq,V(G)/Vp,0.012905,0.046149
X_apo.ENSG00000053371.12.hsq,V(G)/Vp,0.073366,0.055006
X_apo.ENSG00000053372.4.hsq,V(G)/Vp,0.131180,0.065100
X_apo.ENSG00000053501.12.hsq,V(G)/Vp,0.137076,0.079298
X_apo.ENSG00000053702.14.hsq,V(G)/Vp,0.121216,0.071880
X_apo.ENSG00000054148.17.hsq,V(G)/Vp,0.021795,0.054678
X_apo.ENSG00000054219.10.hsq,V(G)/Vp,0.000001,0.042026
X_apo.ENSG00000054654.16.hsq,V(G)/Vp,0.095156,0.069561
X_apo.ENSG00000054983.16.hsq,V(G)/Vp,0.002500,0.041898
X_apo.ENSG00000055044.10.hsq,V(G)/Vp,0.000001,0.058308
X_apo.ENSG00000055070.16.hsq,V(G)/Vp,0.076652,0.055614
X_apo.ENSG00000055130.15.hsq,V(G)/Vp,0.087819,0.062004
X_apo.ENSG00000055163.19.hsq,V(G)/Vp,0.065614,0.056067
X_apo.ENSG00000055483.19.hsq,V(G)/Vp,0.024974,0.056584
X_apo.ENSG00000055609.17.hsq,V(G)/Vp,0.031464,0.063671
X_apo.ENSG00000055950.16.hsq,V(G)/Vp,0.120147,0.062553
X_apo.ENSG00000056558.10.hsq,V(G)/Vp,0.095992,0.064677
X_apo.ENSG00000056972.18.hsq,V(G)/Vp,0.050659,0.055163
X_apo.ENSG00000057657.15.hsq,V(G)/Vp,0.014297,0.055052
X_apo.ENSG00000057935.13.hsq,V(G)/Vp,0.058607,0.054420
X_apo.ENSG00000058262.9.hsq,V(G)/Vp,0.100468,0.059402
X_apo.ENSG00000058453.16.hsq,V(G)/Vp,0.105265,0.074320
X_apo.ENSG00000117448.13.hsq,V(G)/Vp,0.114942,0.060096
X_apo.ENSG00000058600.15.hsq,V(G)/Vp,0.022358,0.066730
X_apo.ENSG00000058729.10.hsq,V(G)/Vp,0.119991,0.060729
X_apo.ENSG00000058804.11.hsq,V(G)/Vp,0.000001,0.047227
X_apo.ENSG00000059378.12.hsq,V(G)/Vp,0.057346,0.062514
X_apo.ENSG00000059573.8.hsq,V(G)/Vp,0.008482,0.046050
X_apo.ENSG00000059588.9.hsq,V(G)/Vp,0.081367,0.062775
X_apo.ENSG00000059691.11.hsq,V(G)/Vp,0.139316,0.069207
X_apo.ENSG00000059728.10.hsq,V(G)/Vp,0.026637,0.037203
X_apo.ENSG00000059758.7.hsq,V(G)/Vp,0.028008,0.053225
X_apo.ENSG00000060339.13.hsq,V(G)/Vp,0.115989,0.066242
X_apo.ENSG00000060491.16.hsq,V(G)/Vp,0.000001,0.041854
X_apo.ENSG00000060688.12.hsq,V(G)/Vp,0.064888,0.047782
X_apo.ENSG00000060762.18.hsq,V(G)/Vp,0.110035,0.070327
X_apo.ENSG00000119801.12.hsq,V(G)/Vp,0.083159,0.061994
X_apo.ENSG00000060971.17.hsq,V(G)/Vp,0.000001,0.037995
X_apo.ENSG00000061794.12.hsq,V(G)/Vp,0.025696,0.040274
X_apo.ENSG00000061936.9.hsq,V(G)/Vp,0.034714,0.059998
X_apo.ENSG00000061938.16.hsq,V(G)/Vp,0.034279,0.054023
X_apo.ENSG00000062485.18.hsq,V(G)/Vp,0.005878,0.042565
X_apo.ENSG00000062582.13.hsq,V(G)/Vp,0.074237,0.054367
X_apo.ENSG00000062822.12.hsq,V(G)/Vp,0.048084,0.057386
X_apo.ENSG00000063046.17.hsq,V(G)/Vp,0.048273,0.056328
X_apo.ENSG00000063169.10.hsq,V(G)/Vp,0.101563,0.075334
X_apo.ENSG00000063176.15.hsq,V(G)/Vp,0.107737,0.066768
X_apo.ENSG00000063177.12.hsq,V(G)/Vp,0.000001,0.048960
X_apo.ENSG00000063180.8.hsq,V(G)/Vp,0.000001,0.065502
X_apo.ENSG00000063244.12.hsq,V(G)/Vp,0.081446,0.070995
X_apo.ENSG00000121310.16.hsq,V(G)/Vp,0.062840,0.061683
X_apo.ENSG00000063245.14.hsq,V(G)/Vp,0.031509,0.051973
X_apo.ENSG00000063322.13.hsq,V(G)/Vp,0.074095,0.061882
X_apo.ENSG00000063761.15.hsq,V(G)/Vp,0.056682,0.059451
X_apo.ENSG00000063978.15.hsq,V(G)/Vp,0.044488,0.047529
X_apo.ENSG00000064102.14.hsq,V(G)/Vp,0.028183,0.049764
X_apo.ENSG00000064201.15.hsq,V(G)/Vp,0.045024,0.060147
X_apo.ENSG00000064313.11.hsq,V(G)/Vp,0.064955,0.057978
X_apo.ENSG00000064490.13.hsq,V(G)/Vp,0.018522,0.049701
X_apo.ENSG00000064545.14.hsq,V(G)/Vp,0.059956,0.068747
X_apo.ENSG00000064607.16.hsq,V(G)/Vp,0.074265,0.069840
X_apo.ENSG00000064703.11.hsq,V(G)/Vp,0.107279,0.061137
X_apo.ENSG00000064726.9.hsq,V(G)/Vp,0.097691,0.065351
X_apo.ENSG00000064933.17.hsq,V(G)/Vp,0.000001,0.046127
X_apo.ENSG00000121895.7.hsq,V(G)/Vp,0.125303,0.067269
X_apo.ENSG00000064961.18.hsq,V(G)/Vp,0.029135,0.052002
X_apo.ENSG00000065000.15.hsq,V(G)/Vp,0.072945,0.065836
X_apo.ENSG00000065029.14.hsq,V(G)/Vp,0.003309,0.048275
X_apo.ENSG00000065057.7.hsq,V(G)/Vp,0.139278,0.065183
X_apo.ENSG00000065060.16.hsq,V(G)/Vp,0.073257,0.052390
X_apo.ENSG00000065150.18.hsq,V(G)/Vp,0.028206,0.059390
X_apo.ENSG00000065183.15.hsq,V(G)/Vp,0.136531,0.063784
X_apo.ENSG00000065268.10.hsq,V(G)/Vp,0.140288,0.081084
X_apo.ENSG00000065308.4.hsq,V(G)/Vp,0.119739,0.058613
X_apo.ENSG00000065357.19.hsq,V(G)/Vp,0.002395,0.032022
X_apo.ENSG00000065427.14.hsq,V(G)/Vp,0.061149,0.052415
X_apo.ENSG00000065518.7.hsq,V(G)/Vp,0.057436,0.047706
X_apo.ENSG00000065600.12.hsq,V(G)/Vp,0.000001,0.045999
X_apo.ENSG00000122390.17.hsq,V(G)/Vp,0.040952,0.046599
X_apo.ENSG00000065675.14.hsq,V(G)/Vp,0.027411,0.063162
X_apo.ENSG00000065717.14.hsq,V(G)/Vp,0.050688,0.070803
X_apo.ENSG00000065809.13.hsq,V(G)/Vp,0.070659,0.061501
X_apo.ENSG00000065911.11.hsq,V(G)/Vp,0.000001,0.046948
X_apo.ENSG00000065970.8.hsq,V(G)/Vp,0.021915,0.059478
X_apo.ENSG00000065989.15.hsq,V(G)/Vp,0.120400,0.079820
X_apo.ENSG00000066044.14.hsq,V(G)/Vp,0.086757,0.071503
X_apo.ENSG00000066117.14.hsq,V(G)/Vp,0.079033,0.055240
X_apo.ENSG00000066294.14.hsq,V(G)/Vp,0.220723,0.085402
X_apo.ENSG00000066379.14.hsq,V(G)/Vp,0.084568,0.041585
X_apo.ENSG00000066583.11.hsq,V(G)/Vp,0.040640,0.048325
X_apo.ENSG00000066651.18.hsq,V(G)/Vp,0.000001,0.043961
X_apo.ENSG00000066654.13.hsq,V(G)/Vp,0.097948,0.070488
X_apo.ENSG00000066855.15.hsq,V(G)/Vp,0.018485,0.055688
X_apo.ENSG00000067057.16.hsq,V(G)/Vp,0.096735,0.070133
X_apo.ENSG00000067082.14.hsq,V(G)/Vp,0.059147,0.057377
X_apo.ENSG00000067167.7.hsq,V(G)/Vp,0.000001,0.045541
X_apo.ENSG00000067191.15.hsq,V(G)/Vp,0.062082,0.069286
X_apo.ENSG00000067248.9.hsq,V(G)/Vp,0.043259,0.050301
X_apo.ENSG00000067369.13.hsq,V(G)/Vp,0.084451,0.066777
X_apo.ENSG00000067560.10.hsq,V(G)/Vp,0.000001,0.047500
X_apo.ENSG00000067704.9.hsq,V(G)/Vp,0.055624,0.047463
X_apo.ENSG00000067955.13.hsq,V(G)/Vp,0.000001,0.049102
X_apo.ENSG00000068028.17.hsq,V(G)/Vp,0.033558,0.049572
X_apo.ENSG00000068097.14.hsq,V(G)/Vp,0.254605,0.082505
X_apo.ENSG00000068120.14.hsq,V(G)/Vp,0.052981,0.053683
X_apo.ENSG00000068654.15.hsq,V(G)/Vp,0.146369,0.072819
X_apo.ENSG00000068724.15.hsq,V(G)/Vp,0.064313,0.053044
X_apo.ENSG00000068796.16.hsq,V(G)/Vp,0.060835,0.059372
X_apo.ENSG00000068831.18.hsq,V(G)/Vp,0.034167,0.041212
X_apo.ENSG00000068885.14.hsq,V(G)/Vp,0.129293,0.067062
