module,variable,value
34,Before,98.84150606
34,Before,82.7840173
72,Before,384.1935479
34,Before,80.01695575
34,Before,119.0550824
72,Before,146.1801698
72,Before,180.6253167
34,Before,42.85245326
34,Before,96.69209813
34,Before,61.22602103
34,Before,42.08813649
72,Before,72.3341687
72,Before,115.1116358
34,Before,39.74757205
34,Before,55.95706578
66,Before,13.70814608
34,Before,34.65382745
34,Before,123.6955857
72,Before,294.0768979
72,Before,108.2956751
34,Before,91.03821671
72,Before,56.11102276
34,Before,179.1036949
72,Before,53.05466791
34,Before,7.395827296
72,Before,279.1023499
72,Before,116.7354657
72,Before,83.31116149
34,Before,244.5800106
72,Before,186.6002375
34,Before,168.4857201
34,Before,86.24553883
34,Before,320.7481914
72,Before,84.87986597
34,Before,143.8449665
34,Before,107.2672239
72,Before,272.1728581
34,Before,45.87194991
72,Before,253.6953541
34,Before,45.48743133
34,Before,135.0266245
34,Before,168.718203
34,Before,107.7873749
34,Before,262.7360194
66,Before,13.23730098
72,Before,238.427647
34,Before,50.02550856
34,Before,45.62055292
72,Before,19.43433367
34,Before,132.046022
72,Before,132.4380008
72,Before,173.1353712
34,Before,118.9750322
34,Before,99.56828917
72,Before,51.41061894
34,Before,69.03413886
72,Before,73.96560725
34,Before,250.837313
34,Before,331.8754007
66,Before,8.379539636
34,Before,188.0536319
34,Before,127.5862146
72,Before,61.89501444
72,Before,344.013391
34,Before,83.22716434
34,Before,52.80751183
34,Before,139.5818678
72,Before,66.44426897
72,Before,124.0903155
72,Before,154.8520084
34,Before,96.18380784
72,Before,147.9965149
74,Before,7.405949618
34,Before,104.7393472
72,Before,129.4194441
34,Before,185.449965
72,Before,53.45996391
72,Before,313.0829849
72,Before,330.1066453
72,Before,160.5306589
34,Before,102.0042485
72,Before,141.976179
34,Before,99.53001622
34,Before,163.3945991
34,Before,215.7458039
34,Before,37.3419499
72,Before,165.6074714
72,Before,168.6964883
72,Before,167.0612603
34,Before,129.5946035
34,Before,97.91975498
72,Before,301.2211318
34,Before,191.7274517
72,Before,152.4282292
34,Before,81.94586275
34,Before,191.5798525
72,Before,265.3984369
34,Before,53.99614444
72,Before,88.75327084
34,Before,149.6906334
34,Before,215.5509384
34,Before,123.4195555
34,Before,287.7179611
34,Before,55.51030242
34,Before,40.67251787
34,Before,42.60485327
34,Before,54.60817309
34,Before,165.8043397
34,Before,96.5243925
34,Before,24.89078423
72,Before,269.4061803
34,Before,192.4084242
34,Before,172.79844
34,Before,113.8065171
72,Before,35.91926871
72,Before,221.9422019
72,Before,158.7245695
72,Before,174.6622665
72,Before,62.42800278
34,Before,157.055534
34,Before,141.6858757
72,Before,243.6718055
72,Before,299.4962596
34,Before,72.33706577
34,Before,128.6701113
34,Before,61.10429171
66,Before,5.188893343
34,Before,208.1655887
72,Before,92.14580767
34,Before,37.34575966
72,Before,265.4338092
34,Before,179.6186614
34,Before,48.51166372
72,Before,219.8423527
34,Before,160.5678166
72,Before,174.7020627
34,Before,75.69482458
34,Before,75.84396952
34,Before,207.8313473
34,Before,130.9836291
34,Before,237.4587901
34,Before,54.40956261
72,Before,36.51101042
34,Before,14.31708985
34,Before,107.432479
72,Before,179.2715804
34,Before,184.7431103
72,Before,196.068203
34,Before,271.9888875
72,Before,245.2911678
34,Before,143.6914564
34,Before,130.0190002
34,Before,118.0173463
72,Before,271.0587383
34,Before,109.200202
34,Before,75.03602301
72,Before,147.5379663
34,Before,168.9694605
34,Before,198.0355829
34,Before,138.400429
34,Before,85.65792775
34,Before,21.62809361
72,Before,51.49504329
34,Before,83.79877022
72,Before,281.8598051
72,Before,324.5085158
34,Before,138.3296709
34,Before,181.9110893
72,Before,310.0696135
34,Before,117.9215081
72,Before,253.013069
34,Before,99.27073596
72,Before,148.2216707
34,Before,27.00388334
72,Before,20.28345478
34,Before,59.78619546
72,Before,136.391444
34,Before,49.57090585
34,Before,131.8194977
72,Before,215.7186363
72,Before,32.82421411
34,Before,77.56883545
72,Before,215.9137054
34,Before,201.8710883
34,Before,208.0364557
72,Before,306.5237487
72,Before,27.25278187
72,Before,151.3081272
34,Before,25.05942896
34,Before,44.48078067
34,Before,181.3715813
34,Before,112.4020617
34,Before,248.0828749
72,Before,93.76431986
72,Before,46.75507787
72,Before,231.9692266
34,Before,79.71132837
34,Before,154.5933721
72,Before,47.9958899
72,Before,65.05154384
72,Before,99.31085774
72,Before,217.602949
34,Before,205.2611577
34,Before,169.6420842
72,Before,225.6820246
34,Before,159.687261
72,Before,122.7287029
34,Before,271.2349631
34,Before,64.45427129
72,Before,86.75122015
34,Before,119.7257225
34,Before,204.0884126
34,Before,253.5957311
34,Before,170.4259179
72,Before,294.9963196
66,Before,12.03838212
72,Before,34.89375527
34,Before,120.8907932
34,Before,177.3301754
34,Before,109.4475349
34,Before,193.8221412
72,Before,89.3807245
72,Before,62.51020748
34,Before,290.4894912
34,Before,261.6722555
72,Before,23.07644276
72,Before,35.59524775
72,Before,152.5069633
34,Before,162.2373486
34,Before,70.69501934
72,Before,26.84098269
72,Before,191.2485747
72,Before,259.1271206
34,Before,170.5756403
72,Before,236.5556662
72,Before,192.6715341
34,Before,154.9856622
34,Before,110.1740573
74,Before,5.415837252
34,Before,98.52482712
34,Before,108.8462041
34,Before,150.3658139
34,Before,87.40401425
72,Before,171.2164299
34,Before,164.3688669
72,Before,255.4773218
72,Before,88.97257175
34,Before,138.6371342
72,Before,23.47871446
72,Before,161.1753138
34,Before,192.658056
72,Before,98.29061159
34,Before,239.0553764
72,Before,118.3178213
34,Before,48.94612857
34,Before,152.6242375
72,Before,242.1643168
34,Before,83.05714412
34,Before,142.9596729
34,Before,252.1521122
72,Before,166.4591042
66,Before,9.147208184
72,Before,52.3852178
34,Before,94.64556548
72,Before,199.1741054
34,Before,92.36263555
34,Before,56.62586611
34,Before,286.84222
34,Before,223.0119166
72,Before,258.5720426
66,Before,13.74169839
34,Before,135.0491719
34,Before,61.94275444
72,Before,271.0518592
72,Before,186.31116
34,Before,48.14975914
34,Before,157.9141414
72,Before,89.07423791
34,Before,119.9459291
34,Before,86.53405236
72,Before,153.9219818
72,Before,123.0924651
34,Before,110.0309809
34,Before,174.8648816
34,Before,18.61684221
72,Before,196.8337031
72,Before,245.9622055
34,Before,82.23276596
34,Before,198.0134042
34,Before,32.72199095
34,Before,25.805794
34,Before,287.5995876
34,Before,84.32401915
34,Before,200.5691514
34,Before,68.51884498
34,Before,125.3104869
34,Before,144.2368686
34,Before,207.774313
34,Before,95.88733446
34,Before,246.0794479
34,Before,47.28014781
72,Before,169.1748836
34,Before,51.24264841
72,Before,225.191048
34,Before,98.35412533
34,Before,42.53560812
34,Before,36.75463846
72,Before,77.65223626
72,Before,30.24455926
34,Before,70.15802203
72,Before,57.27173648
34,Before,140.6473489
72,Before,147.5153964
66,Before,12.73272211
34,Before,10.9268307
34,Before,94.24013196
34,Before,115.6160617
34,Before,98.08107619
34,Before,33.85041381
34,Before,42.0828809
72,Before,174.5851949
72,Before,270.6610206
34,Before,83.19318951
72,Before,140.8553303
72,Before,291.2204027
72,Before,276.3795694
34,Before,70.74472936
34,Before,75.21891426
34,Before,10.18020243
72,Before,163.6812534
72,Before,150.6445447
72,Before,46.21067015
72,Before,164.8092445
34,Before,91.49824972
34,Before,264.1602882
72,Before,113.5558263
34,Before,82.18760097
34,Before,57.92609063
34,Before,148.2488609
34,Before,185.5483347
34,Before,203.9906829
34,Before,146.8129598
72,Before,318.3126145
34,Before,42.30661676
34,Before,42.28888637
34,Before,115.0785959
34,Before,273.3167698
34,Before,29.39329859
34,Before,36.95146154
72,Before,311.1308093
72,Before,358.0718102
72,Before,157.438259
34,Before,60.88052192
72,Before,97.14374324
72,Before,227.8065893
34,Before,135.5235798
72,Before,116.8498105
72,Before,251.4189889
34,Before,69.33714018
72,Before,64.72614503
34,Before,83.87912266
72,Before,252.9204065
34,Before,60.06125469
75,Before,4.7416663
34,Before,79.69511842
34,Before,118.5998529
34,Before,171.7901248
72,Before,151.0771807
72,Before,103.0774286
74,Before,5.529795549
34,Before,118.5206315
34,Before,147.6255337
72,Before,207.0453996
72,Before,203.9203949
72,Before,306.0461386
72,Before,127.9955541
34,Before,277.8498257
34,Before,140.4410907
34,Before,34.23669898
72,Before,222.8614038
34,Before,264.808779
66,Before,32.70906837
72,Before,201.6515617
34,Before,49.4594063
72,Before,154.6732573
72,Before,142.7585052
72,Before,147.8161118
72,Before,174.9287973
72,Before,210.2684808
66,Before,10.56644498
34,Before,48.84200968
72,Before,171.465174
72,Before,120.0891625
72,Before,240.8457611
34,Before,262.810536
34,Before,133.7908968
34,Before,87.63058548
34,Before,71.18381831
34,Before,87.54585958
72,Before,164.9480011
34,Before,147.6302798
34,Before,58.5276719
72,Before,199.6629485
72,Before,260.5391094
34,Before,169.0104623
72,Before,96.86642593
72,Before,88.8542617
72,Before,192.0414709
34,Before,85.07681387
34,Before,140.9141411
72,Before,155.3127942
34,Before,12.30498345
34,Before,135.7959598
72,Before,65.6779815
72,Before,31.79795322
72,Before,79.1969307
72,Before,117.4112454
34,Before,89.97517809
72,Before,331.0315891
34,Before,131.4189291
34,Before,120.9604063
72,Before,226.9354107
34,Before,73.22912178
72,Before,170.2331883
34,Before,70.40818935
34,Before,132.7438549
72,Before,112.4533919
34,Before,41.64741133
34,Before,93.59450151
34,Before,94.52749577
34,Before,123.3127372
72,Before,211.4384097
34,Before,105.8086191
72,Before,29.69209265
34,Before,55.45145721
34,Before,63.40440138
72,Before,82.35197897
34,Before,117.537773
34,Before,122.8080985
34,Before,159.9310963
34,Before,62.41560479
34,Before,61.93284416
34,Before,34.92932823
34,Before,155.7325166
34,Before,30.82813079
34,Before,59.71371435
34,Before,54.61698684
34,Before,98.7834261
34,Before,203.7047727
34,Before,27.82023129
72,Before,45.65970109
34,Before,18.98095324
34,Before,190.9515718
34,Before,90.28909572
34,Before,192.4357538
34,Before,97.52753899
34,Before,92.51240482
72,Before,285.187948
72,Before,130.4951816
34,Before,167.7123236
34,Before,106.0038513
34,Before,107.3654316
72,Before,44.24144885
34,Before,97.74388664
34,Before,26.36042936
34,Before,48.3974715
72,Before,64.94574255
34,Before,252.8024911
34,Before,57.84583383
34,Before,87.51958296
34,Before,117.3550287
72,Before,302.4458348
72,Before,122.3658802
72,Before,84.24647113
34,Before,89.26039221
34,Before,104.1440147
34,Before,78.28357089
34,Before,55.76485093
34,Before,108.2488869
34,Before,47.29611735
34,Before,36.43291961
34,Before,179.7614193
34,Before,42.99873374
34,Before,182.6165286
72,Before,149.1626578
72,Before,110.1503416
34,Before,127.6212319
34,Before,131.2162275
34,Before,195.9607557
34,Before,83.16535682
34,Before,239.355536
66,Before,6.53643924
72,Before,303.4579427
34,Before,156.5353322
34,Before,146.1106287
34,Before,181.850029
34,Before,25.65533166
34,Before,264.3820601
72,Before,24.61943484
34,Before,235.8693186
34,Before,140.7189858
34,Before,119.8171414
34,Before,25.69397887
72,Before,104.877348
34,Before,122.0280753
34,Before,76.867178
72,Before,88.78935952
34,Before,60.65106032
34,Before,77.36290959
