gene,beta,t,p,se.beta.,p_corr,gene_symbol
ENSG00000103707.9,-0.779994870908539,-1.3453317017323,0.178561336076091,0.579778852980411,0.357838685086117,MTFMT
ENSG00000103769.9,-0.530361943377556,-0.820557570777692,0.411926019974568,0.646343367321442,0.590262409622051,RAB11A
ENSG00000103932.11,5.46303819333067,2.79699807501754,0.0051719401890864,1.95317910374193,0.0563502286688871,RPAP1
ENSG00000103966.10,1.80000429389642,1.57797247609801,0.114616722143781,1.14070702826671,0.27364324712403,EHD4
ENSG00000103978.15,-0.909875056025996,-1.65863216373156,0.0972343449755401,0.54856952368449,0.249589121462708,TMEM87A
ENSG00000103994.16,-0.728413073808814,-1.91394630440395,0.0556673937644536,0.38058177083273,0.183757689939032,ZNF106
ENSG00000104064.16,0.527655944835893,0.513180839150244,0.607840880684034,1.02820663707869,0.749376649197797,GABPB1
ENSG00000104081.13,0.489484213570682,1.78048860921399,0.075039011117776,0.274915666990292,0.215612091945076,BMF
ENSG00000104093.13,0.129184242584175,0.458659500416152,0.646492816155327,0.281656092301508,0.777747858307033,DMXL2
ENSG00000104129.9,0.371177554849749,1.44274691897164,0.149136127329515,0.257271424370337,0.32232138999773,DNAJC17
ENSG00000104131.12,0.83952957994382,1.13824987463806,0.255054771079872,0.737561759197007,0.442040956692714,EIF3J
ENSG00000104133.14,-1.04208626976933,-2.70823867123855,0.00678043182846599,0.384783764014696,0.0623175715413109,SPG11
ENSG00000104164.10,0.410524375133165,0.877969042522016,0.379990387310557,0.467584112025078,0.561624774161441,BLOC1S6
ENSG00000104205.12,-0.704709215225203,-1.36352962522296,0.172759117871615,0.516827212397364,0.350874111173278,SGK3
ENSG00000104221.12,-0.428597248969638,-1.26280299352944,0.206701682825537,0.339401514856837,0.390940961562746,BRF2
ENSG00000104228.12,0.256423139988585,0.897876138034196,0.369282196919789,0.285588545152782,0.55243915063503,TRIM35
ENSG00000104231.10,-0.47572157470122,-0.691191665624286,0.489467820194912,0.688262891988934,0.65698278635898,ZFAND1
