gene,beta,t,p,se.beta.,p_corr,gene_symbol
ENSG00000144182.16,0.0503375889582038,0.596264546518372,0.551017622798287,0.0844215696742801,0.708587203689568,LIPT1
ENSG00000144199.11,0.476380744145474,2.61326174025986,0.00898727484722333,0.182293544043584,0.0672492883063462,FAHD2B
ENSG00000144224.16,-0.168515229505827,-1.15862411287386,0.246648613563645,0.145444262408661,0.434494923743894,UBXN4
ENSG00000144228.8,-0.408969008402825,-2.70563808057496,0.00683369750346947,0.1511543658921,0.0572081006227677,SPOPL
ENSG00000144231.10,0.173011481667939,2.30864350613938,0.0209921081473855,0.0749407525275554,0.104883693483185,POLR2D
ENSG00000144233.9,0.186143650789841,1.41484610780677,0.157157712396533,0.13156459191056,0.329821759819377,AMMECR1L
ENSG00000144306.14,0.163698564828261,1.83145869959878,0.0670742091116544,0.0893815213327618,0.199944805519342,SCRN3
ENSG00000144320.13,-0.0126781386084683,-0.481314305282235,0.630308044253835,0.0263406644459362,0.766383455737885,LNPK
ENSG00000144354.13,-0.126344128640581,-1.70316322850586,0.0885815270594971,0.074182043462399,0.234983519627542,CDCA7
ENSG00000144357.16,0.0765423864291959,0.358531552014796,0.719956277120908,0.213488564671812,0.830968562839058,UBR3
ENSG00000144445.16,0.129919611202788,0.921152716420673,0.357002166523147,0.141040251943909,0.546094323303156,KANSL1L
ENSG00000144455.13,0.0821648601153699,1.80087470481685,0.0717652777917284,0.0456249731841985,0.207150461697731,SUMF1
ENSG00000144468.16,-0.268752957308508,-0.853349617506732,0.393494394567538,0.314938861862661,0.576444650646434,RHBDD1
ENSG00000144504.15,0.253443406151752,2.29818926351811,0.0215800999615603,0.110279605850989,0.105707972219332,ANKMY1
ENSG00000144524.17,0.57882333017184,3.05227705868731,0.00227956701396683,0.189636562816081,0.0336349086078817,COPS7B
ENSG00000144535.19,0.0429093562191153,0.207999757501178,0.835235154703644,0.20629522233396,0.90508676483633,DIS3L2
ENSG00000144554.10,-0.16492503240461,-0.757942197644295,0.448510878051535,0.217595791495977,0.626839442639665,FANCD2
ENSG00000144559.10,0.0135736824259802,0.159733024129492,0.873095953557184,0.0849773082301144,0.927579497104279,TAMM41
ENSG00000144560.14,0.441484349073846,1.61304221632653,0.106780017676704,0.273696710851911,0.262789459135637,VGLL4
ENSG00000144566.10,-0.000791917482750567,-0.00449642996304278,0.996412507046625,0.17612138724711,0.998054150326229,RAB5A
ENSG00000144579.7,0.120526472794612,2.86093212507681,0.00423637742917517,0.0421283929591222,0.0463146407208076,CTDSP1
ENSG00000144580.13,0.198695828557237,2.33958706929542,0.0193327883357896,0.0849277341138134,0.0993046533202077,CNOT9
ENSG00000144589.21,0.094628010820779,0.569121145058364,0.569292029059068,0.166270418244739,0.720880226683889,STK11IP
ENSG00000144591.18,0.112734287846724,0.774119413405642,0.438886092423177,0.145629066904243,0.617214186991825,GMPPA
ENSG00000144597.13,-0.396852944204241,-4.2680682532461,1.99751156101924e-05,0.0929818645478345,0.00792260609103828,EAF1
ENSG00000144635.8,0.23810600439511,2.86035416662734,0.00424409751504525,0.083243539269776,0.0463146407208076,DYNC1LI1
ENSG00000144659.10,-0.0779402909024234,-0.344089745039245,0.730789039610838,0.226511519236163,0.838273069809939,SLC25A38
ENSG00000144674.16,0.105210238889993,0.765094800558991,0.444240662436079,0.137512683151323,0.622712561569505,GOLGA4
ENSG00000144711.13,0.346023001142555,1.43387402499272,0.15165248951341,0.241320363652108,0.321697235195583,IQSEC1
ENSG00000144713.12,0.519547428620535,2.0375864516659,0.0416285057901557,0.254981784059156,0.151914364490011,RPL32
ENSG00000144736.13,0.34024511128199,2.98256943179256,0.00286816368160188,0.114077851015022,0.0375341833790512,SHQ1
ENSG00000144741.17,0.194094475758149,1.6469023875651,0.0996226039521556,0.117854268245438,0.252338231909744,SLC25A26
ENSG00000144744.16,0.266189206211888,1.44675924733129,0.148008747286614,0.183989980850583,0.317039924543574,UBA3
ENSG00000144746.6,0.24308602708342,2.00072675279838,0.0454600542568472,0.121498863722105,0.159842157281804,ARL6IP5
ENSG00000144747.15,-0.0467937313603868,-0.346064419086522,0.729304611743195,0.135216823168081,0.837274003303662,TMF1
ENSG00000144749.13,0.0734109574125643,0.821279796330816,0.411514636687242,0.0893860505768414,0.593604608038018,LRIG1
ENSG00000144791.9,0.219143862972638,1.80978767948816,0.0703712132184348,0.121088161587339,0.2051934802408,LIMD1
ENSG00000144802.11,-0.000784801970079414,-0.00678220680705123,0.994588814955427,0.115714839197101,0.997268006081792,NFKBIZ
ENSG00000144815.15,0.0432325252351414,0.582264152806957,0.560407355388886,0.0742489899588145,0.714320743497498,NXPE3
ENSG00000144827.8,0.186031340018753,2.95651131907505,0.00312170325262183,0.0629225867726266,0.0392080183063193,ABHD10
ENSG00000144840.8,0.134183632522437,0.811718250339686,0.416980677818768,0.165308137973101,0.597245159251582,RABL3
ENSG00000144843.11,0.149422268969884,1.64855025985209,0.0992842876292095,0.0906385887096284,0.252007365456926,ADPRH
ENSG00000144848.10,0.0290328770681218,0.396776227272771,0.69154447215499,0.073171916744303,0.810861638384481,ATG3
ENSG00000144867.11,0.180465912642611,1.94635363924085,0.0516518803017729,0.0927200016503678,0.171315207691866,SRPRB
ENSG00000144895.11,0.0101990223006266,0.103755230161499,0.917366542029633,0.0982988740399056,0.954523316111603,EIF2A
ENSG00000144909.7,-0.0796427960677853,-0.813557103505673,0.415926149070069,0.0978945371192742,0.596396293947609,OSBPL11
ENSG00000145012.13,-0.15648440124673,-0.652461310076137,0.514124860675045,0.239837058274718,0.680926489417426,LPP
ENSG00000145016.15,0.170943695887218,1.43037223825259,0.152654453920821,0.119509936865141,0.323354196367719,RUBCN
ENSG00000145020.15,0.0589811656937778,0.539397593923969,0.58962954610912,0.109346364088698,0.735711771002222,AMT
ENSG00000145022.4,0.165977912510106,2.08364347842213,0.0372284787040427,0.079657539415426,0.141863197816382,TCTA
ENSG00000145029.13,0.263378808163356,2.38380083911084,0.0171611351526741,0.110486918135995,0.0933150967896734,NICN1
ENSG00000145041.15,0.0821096051407245,0.559219415679285,0.576029717382904,0.146828959865397,0.726043921140311,DCAF1
ENSG00000145191.12,0.04666466614734,0.267348934642246,0.789208320036104,0.174545921455735,0.874814109364924,EIF2B5
ENSG00000145192.12,-0.102472798679309,-0.672504101748614,0.501284832325316,0.152374979443045,0.670864764162774,AHSG
ENSG00000145214.13,0.0711251302617193,3.9801856303494,6.95513336878957e-05,0.0178698022824316,0.0108817123416052,DGKQ
ENSG00000145216.15,0.684911199011691,2.40017330238176,0.0164130368973379,0.285359060669508,0.0916198767227676,FIP1L1
ENSG00000145220.13,0.221178830179018,1.71807882664211,0.0858260726337352,0.128736136403764,0.230084583856937,LYAR
ENSG00000145241.10,-0.00697665588087854,-0.0698405052962295,0.944322584759813,0.0998941209157487,0.969905637350822,CENPC
ENSG00000145246.13,0.0266171321553063,0.24044073268889,0.809995583282392,0.110701426740978,0.888672807006901,ATP10D
ENSG00000145247.11,0.242913468456145,0.997455972543735,0.318577409528617,0.243533023153555,0.510934274702281,OCIAD2
ENSG00000145293.15,0.0196183441714924,0.143581223818777,0.885835264872034,0.136635861219945,0.936638811589308,ENOPH1
ENSG00000145321.12,-0.201762672869778,-1.77649507893191,0.0756943936858353,0.113573448788321,0.213671626988385,GC
ENSG00000145332.13,0.15989731781773,1.64331921991802,0.100361420417875,0.0973014347301958,0.253765923463891,KLHL8
ENSG00000145348.16,0.715974760007343,0.900740556187899,0.367756995366989,0.794873457277732,0.55451335574669,TBCK
ENSG00000145349.16,0.0215022587109338,0.0923667492330694,0.926409276705832,0.232792199459971,0.960421011133569,CAMK2D
ENSG00000145365.10,0.046421227253516,0.261941587514005,0.79337411605976,0.177219767559949,0.877135228353365,TIFA
ENSG00000145386.9,-0.0706185958777368,-0.8833778263274,0.377062237467972,0.0799415536286779,0.563490746909357,CCNA2
ENSG00000145388.14,0.099912842044722,0.441210874502377,0.659073848518359,0.226451449451262,0.787905948250634,METTL14
ENSG00000145390.11,0.023144179851992,0.375016608469308,0.707659376476291,0.0617150796239632,0.822803911659188,USP53
ENSG00000145391.13,0.0157830971854574,0.203350864938163,0.838866660268017,0.077615097384793,0.907940666261537,SETD7
ENSG00000145414.8,-0.116757715328066,-0.626740702743047,0.53084947775725,0.186293493971357,0.69295900599428,NAF1
ENSG00000145416.13,0.0720732724020524,1.17013702768194,0.241985316743333,0.0615938737917138,0.430181993553409,01-Mar
