gene_id,gene,module,kTotal_output
ENSG00000109065.11,NAT9,34,165.4948426
ENSG00000109606.12,DHX15,34,215.1354236
ENSG00000109917.10,ZPR1,34,211.9115278
ENSG00000109920.12,FNBP4,34,191.0049935
ENSG00000110048.11,OSBP,34,211.8894797
ENSG00000110107.8,PRPF19,34,163.7049251
ENSG00000110108.9,TMEM109,34,176.1385765
ENSG00000110583.12,NAA40,34,197.824626
ENSG00000111203.11,ITFG2,34,224.9342479
ENSG00000111300.9,NAA25,34,198.487176
ENSG00000111358.13,GTF2H3,34,168.136356
ENSG00000111361.12,EIF2B1,34,213.15665
ENSG00000111364.15,DDX55,34,228.5771336
ENSG00000111530.12,CAND1,34,252.9546546
ENSG00000111596.11,CNOT2,34,250.249914
ENSG00000111605.16,CPSF6,34,203.956131
ENSG00000111667.13,USP5,34,159.9124664
ENSG00000112159.11,MDN1,34,161.1203825
ENSG00000112249.13,ASCC3,34,163.8678477
ENSG00000112365.4,ZBTB24,34,190.2502304
ENSG00000112685.13,EXOC2,34,189.4136456
ENSG00000112992.16,NNT,34,179.473738
ENSG00000112996.10,MRPS30,34,208.1393974
ENSG00000113013.12,HSPA9,34,202.6891384
ENSG00000113048.16,MRPS27,34,269.0442187
ENSG00000113360.16,DROSHA,34,204.5527986
ENSG00000113456.18,RAD1,34,167.0308249
ENSG00000113522.13,RAD50,34,193.5791431
ENSG00000113569.15,NUP155,34,196.8317151
ENSG00000113649.11,TCERG1,34,231.9701335
ENSG00000113716.12,HMGXB3,34,179.7912026
ENSG00000113812.13,ACTR8,34,173.2787638
ENSG00000113838.12,TBCCD1,34,175.681406
ENSG00000114062.18,UBE3A,34,193.6026744
ENSG00000114503.10,NCBP2,34,273.162244
ENSG00000114544.16,SLC41A3,34,179.9357624
ENSG00000114982.17,KANSL3,34,175.4609135
ENSG00000115053.15,NCL,34,185.0873293
ENSG00000115073.7,ACTR1B,34,180.4708712
ENSG00000115207.13,GTF3C2,34,188.4496594
ENSG00000115211.15,EIF2B4,34,161.6804448
ENSG00000115241.10,PPM1G,34,164.8243974
ENSG00000115275.11,MOGS,34,205.1366143
ENSG00000115282.19,TTC31,34,229.0102161
ENSG00000115365.11,LANCL1,34,164.7542755
ENSG00000115368.9,WDR75,34,192.7722455
ENSG00000115419.12,GLS,34,175.4455824
ENSG00000115568.15,ZNF142,34,184.5717118
ENSG00000115694.14,STK25,34,224.9855438
ENSG00000115761.15,NOL10,34,193.7055204
ENSG00000115806.12,GORASP2,34,230.4329817
ENSG00000115825.9,PRKD3,34,168.7545343
ENSG00000115827.13,DCAF17,34,200.4224663
ENSG00000116455.13,WDR77,34,173.0152467
ENSG00000116478.11,HDAC1,34,182.6258738
ENSG00000116521.10,SCAMP3,34,161.0803416
ENSG00000116560.10,SFPQ,34,207.0485657
ENSG00000116750.13,UCHL5,34,175.0629776
ENSG00000116754.13,SRSF11,34,160.3615763
ENSG00000117385.15,P3H1,34,196.0974041
ENSG00000117640.17,MTFR1L,34,169.6513404
ENSG00000117682.16,DHDDS,34,166.768695
ENSG00000117868.15,ESYT2,34,217.3228374
ENSG00000117899.10,MESDC2,34,205.1819831
ENSG00000119041.10,GTF3C3,34,162.1501824
ENSG00000119231.10,SENP5,34,165.3688422
ENSG00000119285.10,HEATR1,34,167.5235208
ENSG00000119335.16,SET,34,202.1757884
ENSG00000119688.20,ABCD4,34,208.4735795
ENSG00000119689.14,DLST,34,249.5134054
ENSG00000119760.15,SUPT7L,34,261.1953802
ENSG00000119977.20,TCTN3,34,180.4240715
ENSG00000120008.15,WDR11,34,177.2532219
ENSG00000120029.12,C10orf76,34,222.2331007
ENSG00000120314.18,WDR55,34,173.1434214
ENSG00000120686.11,UFM1,34,166.7568802
ENSG00000120798.16,NR2C1,34,165.0535976
ENSG00000120948.16,TARDBP,34,242.7130237
ENSG00000120963.11,ZNF706,34,161.3740041
ENSG00000121057.12,AKAP1,34,176.5406875
ENSG00000121671.11,CRY2,34,215.8425866
ENSG00000121774.17,KHDRBS1,34,220.3031893
ENSG00000121892.14,PDS5A,34,267.6854152
ENSG00000122068.12,FYTTD1,34,174.8138654
ENSG00000122965.10,RBM19,34,199.0591135
ENSG00000123064.12,DDX54,34,182.9936048
ENSG00000123124.13,WWP1,34,182.6826382
ENSG00000123607.14,TTC21B,34,167.3808689
ENSG00000123737.12,EXOSC9,34,183.3932972
ENSG00000124193.14,SRSF6,34,205.7360505
ENSG00000124198.8,ARFGEF2,34,170.4440954
ENSG00000124532.14,MRS2,34,208.841487
ENSG00000124541.6,RRP36,34,162.8009024
ENSG00000124571.17,XPO5,34,248.0997546
ENSG00000124574.14,ABCC10,34,167.770836
ENSG00000124608.4,AARS2,34,181.3152521
ENSG00000124784.8,RIOK1,34,218.27857
ENSG00000125755.18,SYMPK,34,168.2060728
ENSG00000125944.18,HNRNPR,34,232.2919069
ENSG00000126001.15,CEP250,34,164.8827349
ENSG00000126226.21,PCID2,34,204.9110912
ENSG00000126261.12,UBA2,34,218.2262702
ENSG00000126698.10,DNAJC8,34,173.7036387
ENSG00000127054.20,INTS11,34,179.7940402
ENSG00000127334.10,DYRK2,34,167.8326031
ENSG00000127463.13,EMC1,34,165.2108028
ENSG00000127483.17,HP1BP3,34,165.9849467
ENSG00000127804.12,METTL16,34,184.779489
ENSG00000127837.9,AAMP,34,165.9151784
ENSG00000127980.15,PEX1,34,169.6040435
ENSG00000128159.11,TUBGCP6,34,169.1234474
ENSG00000128463.12,EMC4,34,161.7109009
ENSG00000128563.13,PRKRIP1,34,192.8111377
ENSG00000128789.20,PSMG2,34,160.5541138
ENSG00000128908.15,INO80,34,242.4719154
ENSG00000128915.11,ICE2,34,182.2760274
ENSG00000128928.8,IVD,34,170.1145461
ENSG00000129003.15,VPS13C,34,177.8713656
ENSG00000129103.17,SUMF2,34,189.2633161
ENSG00000129187.14,DCTD,34,248.0222059
ENSG00000129197.14,RPAIN,34,215.4544855
ENSG00000129347.19,KRI1,34,200.0264482
ENSG00000129351.17,ILF3,34,227.266538
ENSG00000130024.14,PHF10,34,202.7535106
ENSG00000130348.11,QRSL1,34,161.8235136
ENSG00000130414.11,NDUFA10,34,194.8488392
ENSG00000130559.18,CAMSAP1,34,162.3721815
ENSG00000130638.16,ATXN10,34,192.3648009
ENSG00000130713.15,EXOSC2,34,212.8174187
ENSG00000130803.14,ZNF317,34,189.3195229
ENSG00000130810.19,PPAN,34,170.3055553
ENSG00000130935.9,NOL11,34,161.2709827
ENSG00000131368.7,MRPS25,34,192.9502734
ENSG00000131778.18,CHD1L,34,161.4459041
ENSG00000131844.15,MCCC2,34,199.1085347
ENSG00000131876.16,SNRPA1,34,171.1973123
ENSG00000131899.10,LLGL1,34,206.6576817
ENSG00000132128.16,LRRC41,34,163.3709423
ENSG00000132153.14,DHX30,34,273.5250305
ENSG00000132182.11,NUP210,34,178.1228595
ENSG00000132254.12,ARFIP2,34,176.4169404
ENSG00000132286.11,TIMM10B,34,224.2520932
ENSG00000132300.18,PTCD3,34,282.8406724
ENSG00000132305.20,IMMT,34,179.2606757
ENSG00000132323.8,ILKAP,34,165.7002038
ENSG00000132361.16,CLUH,34,170.8605152
ENSG00000132382.14,MYBBP1A,34,164.1361206
ENSG00000132463.13,GRSF1,34,182.0444028
ENSG00000132478.9,UNK,34,263.3629324
ENSG00000132600.16,PRMT7,34,171.426954
ENSG00000132604.10,TERF2,34,199.8387079
ENSG00000132612.15,VPS4A,34,164.4807984
ENSG00000132670.20,PTPRA,34,194.3585736
ENSG00000132676.15,DAP3,34,225.8452962
ENSG00000132680.10,KIAA0907,34,168.0875518
ENSG00000132773.11,TOE1,34,165.8880814
ENSG00000132781.17,MUTYH,34,187.8992522
ENSG00000132953.16,XPO4,34,209.0855811
ENSG00000133030.20,MPRIP,34,228.9141299
ENSG00000133706.17,LARS,34,200.3257421
ENSG00000133895.14,MEN1,34,201.6733547
ENSG00000134283.17,PPHLN1,34,262.8900971
ENSG00000134308.13,YWHAQ,34,184.3675764
ENSG00000134697.12,GNL2,34,182.034395
ENSG00000134759.13,ELP2,34,228.0435443
ENSG00000134900.11,TPP2,34,248.3512971
ENSG00000134987.11,WDR36,34,178.9831517
ENSG00000135040.15,NAA35,34,169.4809149
ENSG00000135108.14,FBXO21,34,196.614864
ENSG00000135249.7,RINT1,34,198.7219686
ENSG00000135297.15,MTO1,34,193.454032
ENSG00000135316.17,SYNCRIP,34,257.8501583
ENSG00000135372.8,NAT10,34,198.4638178
ENSG00000135387.20,CAPRIN1,34,216.6649873
ENSG00000135473.14,PAN2,34,161.5717471
ENSG00000135597.18,REPS1,34,186.6194438
ENSG00000135775.13,COG2,34,176.3923962
ENSG00000135829.16,DHX9,34,165.8157671
ENSG00000135945.9,REV1,34,195.811932
ENSG00000135966.12,TGFBRAP1,34,202.6332145
ENSG00000136045.11,PWP1,34,228.971206
ENSG00000136152.14,COG3,34,192.0487817
ENSG00000136169.16,SETDB2,34,201.7573037
ENSG00000136270.13,TBRG4,34,232.7929315
ENSG00000136271.10,DDX56,34,199.8365035
ENSG00000136444.9,RSAD1,34,236.1094071
ENSG00000136485.14,DCAF7,34,160.7718563
ENSG00000136628.17,EPRS,34,172.2934116
ENSG00000136699.19,SMPD4,34,246.0564916
ENSG00000136709.11,WDR33,34,229.1231933
ENSG00000136811.16,ODF2,34,161.3217412
ENSG00000136875.12,PRPF4,34,185.6362584
ENSG00000136891.13,TEX10,34,245.2281453
ENSG00000136937.12,NCBP1,34,234.4803435
ENSG00000136986.9,DERL1,34,193.9502998
ENSG00000137200.12,CMTR1,34,160.9218735
ENSG00000137221.14,TJAP1,34,256.4736626
ENSG00000137522.17,RNF121,34,198.079903
ENSG00000137656.11,BUD13,34,167.9865935
ENSG00000137770.13,CTDSPL2,34,186.441355
ENSG00000137802.13,MAPKBP1,34,184.8675094
ENSG00000137822.12,TUBGCP4,34,159.477575
ENSG00000138074.14,SLC5A6,34,176.5440679
ENSG00000138095.18,LRPPRC,34,231.3913874
ENSG00000138138.13,ATAD1,34,163.1227101
ENSG00000138614.14,INTS14,34,209.1106014
ENSG00000138750.14,NUP54,34,215.3844569
ENSG00000139645.9,ANKRD52,34,185.4535795
ENSG00000139990.17,DCAF5,34,159.3927616
ENSG00000140262.17,TCF12,34,184.0799658
ENSG00000140320.11,BAHD1,34,184.9099598
ENSG00000140326.12,CDAN1,34,171.2536372
ENSG00000140367.11,UBE2Q2,34,175.6210331
ENSG00000140382.14,HMG20A,34,237.7238779
ENSG00000140474.12,ULK3,34,183.669282
ENSG00000140521.12,POLG,34,186.5538575
ENSG00000140598.13,EFL1,34,176.5840878
ENSG00000140688.16,C16orf58,34,197.6901992
ENSG00000140750.16,ARHGAP17,34,175.9969744
ENSG00000140829.11,DHX38,34,179.0093098
ENSG00000140943.16,MBTPS1,34,249.810427
ENSG00000141076.17,UTP4,34,173.7216519
ENSG00000141101.12,NOB1,34,176.0392761
ENSG00000141127.14,PRPSAP2,34,207.3635081
ENSG00000141380.13,SS18,34,225.6288141
ENSG00000141385.9,AFG3L2,34,171.0156101
ENSG00000141456.14,PELP1,34,179.3552814
ENSG00000141569.10,TRIM65,34,183.8423276
ENSG00000141644.17,MBD1,34,170.8154354
ENSG00000142002.16,DPP9,34,210.2159418
ENSG00000142188.16,TMEM50B,34,162.8777577
ENSG00000142230.11,SAE1,34,193.6857468
ENSG00000142330.19,CAPN10,34,175.9912377
ENSG00000142751.14,GPN2,34,172.5851944
ENSG00000142864.14,SERBP1,34,245.0445844
ENSG00000143093.14,STRIP1,34,190.5617711
ENSG00000143157.11,POGK,34,198.7863283
ENSG00000143374.16,TARS2,34,190.3058197
ENSG00000143390.17,RFX5,34,232.7976707
ENSG00000143393.16,PI4KB,34,172.2807213
ENSG00000143436.10,MRPL9,34,159.516183
ENSG00000143499.13,SMYD2,34,161.0809149
ENSG00000143748.17,NVL,34,243.0283496
ENSG00000143799.12,PARP1,34,164.2838677
ENSG00000144021.2,CIAO1,34,174.3874252
ENSG00000144028.14,SNRNP200,34,182.9360766
ENSG00000144231.10,POLR2D,34,169.3349496
ENSG00000144524.17,COPS7B,34,249.9551166
ENSG00000144580.13,CNOT9,34,246.4721963
ENSG00000144840.8,RABL3,34,163.9083906
ENSG00000145041.15,DCAF1,34,206.4705678
ENSG00000145191.12,EIF2B5,34,305.1737875
ENSG00000145241.10,CENPC,34,163.2256728
ENSG00000145293.15,ENOPH1,34,171.1057137
ENSG00000145833.15,DDX46,34,175.1022847
ENSG00000145907.14,G3BP1,34,243.1411826
ENSG00000145996.11,CDKAL1,34,207.087801
ENSG00000146223.14,RPL7L1,34,183.5926709
ENSG00000146433.8,TMEM181,34,159.6712003
ENSG00000146463.11,ZMYM4,34,183.2020047
ENSG00000146731.10,CCT6A,34,180.6621883
ENSG00000146909.7,NOM1,34,222.0910826
ENSG00000146963.17,LUC7L2,34,205.2586847
ENSG00000147316.12,MCPH1,34,223.4505256
ENSG00000147854.16,UHRF2,34,165.870026
ENSG00000147955.16,SIGMAR1,34,164.3411066
ENSG00000148187.17,MRRF,34,199.8301728
ENSG00000148229.12,POLE3,34,191.7500391
ENSG00000148300.11,REXO4,34,200.0762168
ENSG00000148308.17,GTF3C5,34,165.2818859
ENSG00000148331.11,ASB6,34,176.5857062
ENSG00000148384.12,INPP5E,34,177.0333655
ENSG00000148399.12,DPH7,34,177.9577743
ENSG00000148606.12,POLR3A,34,241.1731688
ENSG00000148672.8,GLUD1,34,182.7827766
ENSG00000148840.10,PPRC1,34,189.5387012
ENSG00000148843.13,PDCD11,34,192.5958884
ENSG00000148943.11,LIN7C,34,167.4201736
ENSG00000149136.8,SSRP1,34,173.6029272
ENSG00000149262.16,INTS4,34,185.4574583
ENSG00000149308.16,NPAT,34,197.0658796
ENSG00000149480.6,MTA2,34,207.7254756
ENSG00000149483.11,TMEM138,34,236.987082
ENSG00000149792.8,MRPL49,34,176.279164
ENSG00000150990.7,DHX37,34,208.6122215
ENSG00000151806.13,GUF1,34,171.9824119
ENSG00000151923.17,TIAL1,34,164.3847602
ENSG00000152234.15,ATP5A1,34,180.8952085
ENSG00000152795.17,HNRNPDL,34,162.2378824
ENSG00000152942.18,RAD17,34,202.9760692
ENSG00000153107.11,ANAPC1,34,160.351519
ENSG00000153560.11,UBP1,34,193.0350041
ENSG00000154001.13,PPP2R5E,34,191.7654337
ENSG00000154174.7,TOMM70,34,246.141899
ENSG00000154222.14,CC2D1B,34,167.5239869
ENSG00000154473.17,BUB3,34,250.2077185
ENSG00000154930.14,ACSS1,34,209.9933501
ENSG00000154945.6,ANKRD40,34,201.496985
ENSG00000155229.20,MMS19,34,265.2456623
ENSG00000155561.14,NUP205,34,237.0726531
ENSG00000156232.7,WHAMM,34,191.9206143
ENSG00000156471.12,PTDSS1,34,170.1271381
ENSG00000156983.15,BRPF1,34,173.2805538
ENSG00000157014.10,TATDN2,34,186.6161205
ENSG00000157259.6,GATAD1,34,240.924109
ENSG00000157353.16,FUK,34,185.7403623
ENSG00000157500.10,APPL1,34,184.1552013
ENSG00000157593.18,SLC35B2,34,164.0690412
ENSG00000157895.11,C12orf43,34,159.9772676
ENSG00000158604.14,TMED4,34,219.7037559
ENSG00000158711.13,ELK4,34,197.8453198
ENSG00000158941.16,CCAR2,34,203.3558436
ENSG00000159202.17,UBE2Z,34,194.951436
ENSG00000160049.11,DFFA,34,182.9422988
ENSG00000160208.12,RRP1B,34,228.9030725
ENSG00000160294.10,MCM3AP,34,248.2621644
ENSG00000160688.18,FLAD1,34,201.94427
ENSG00000160695.14,VPS11,34,180.2530137
ENSG00000160753.15,RUSC1,34,165.3036858
ENSG00000160803.7,UBQLN4,34,180.7211043
ENSG00000160917.14,CPSF4,34,214.4239545
ENSG00000160959.7,LRRC14,34,182.6933391
ENSG00000161204.11,ABCF3,34,168.4069155
ENSG00000161956.12,SENP3,34,242.2753001
ENSG00000162402.13,USP24,34,232.1891036
ENSG00000162408.10,NOL9,34,168.3171531
ENSG00000162521.18,RBBP4,34,192.9636158
ENSG00000162613.16,FUBP1,34,196.203832
ENSG00000162729.13,IGSF8,34,159.9970824
ENSG00000163161.12,ERCC3,34,280.8018464
ENSG00000163257.10,DCAF16,34,186.6607324
ENSG00000163389.10,POGLUT1,34,165.9857549
ENSG00000163539.16,CLASP2,34,206.6753451
ENSG00000163608.14,NEPRO,34,212.7788909
ENSG00000163626.16,COX18,34,181.4835658
ENSG00000163655.15,GMPS,34,170.8075943
ENSG00000163714.17,U2SURP,34,178.0886852
ENSG00000163755.8,HPS3,34,175.1946348
ENSG00000163785.12,RYK,34,189.7661528
ENSG00000163811.11,WDR43,34,174.9711237
ENSG00000163875.15,MEAF6,34,222.5353249
ENSG00000163900.10,TMEM41A,34,178.3774973
ENSG00000163939.18,PBRM1,34,191.4243556
ENSG00000164024.11,METAP1,34,276.0973907
ENSG00000164040.16,PGRMC2,34,187.7024056
ENSG00000164080.13,RAD54L2,34,194.3368264
ENSG00000164134.12,NAA15,34,207.8845885
ENSG00000164151.11,ICE1,34,207.21714
ENSG00000164163.10,ABCE1,34,165.9177687
ENSG00000164164.15,OTUD4,34,188.4024519
ENSG00000164244.20,PRRC1,34,171.677306
ENSG00000164597.13,COG5,34,190.6503181
ENSG00000164828.17,SUN1,34,187.185883
ENSG00000164933.11,SLC25A32,34,206.8079313
ENSG00000165271.16,NOL6,34,204.0841933
ENSG00000165282.13,PIGO,34,187.654993
ENSG00000165526.8,RPUSD4,34,224.4077368
ENSG00000165688.11,PMPCA,34,236.814582
ENSG00000165689.16,SDCCAG3,34,169.4929361
ENSG00000165733.7,BMS1,34,206.2730232
ENSG00000165792.17,METTL17,34,220.0243218
ENSG00000165819.11,METTL3,34,239.7861354
ENSG00000166164.15,BRD7,34,239.4636517
ENSG00000166170.9,BAG5,34,182.5191268
ENSG00000166181.12,API5,34,161.6894047
ENSG00000166197.16,NOLC1,34,175.7533057
ENSG00000166261.10,ZNF202,34,164.0316844
ENSG00000166326.6,TRIM44,34,235.0484654
ENSG00000166526.16,ZNF3,34,216.3769875
ENSG00000166619.12,BLCAP,34,160.0934978
ENSG00000166822.12,TMEM170A,34,175.4526054
ENSG00000166938.12,DIS3L,34,228.4351486
ENSG00000167257.10,RNF214,34,165.8093534
ENSG00000167635.11,ZNF146,34,199.8030254
ENSG00000167699.13,GLOD4,34,241.2242822
ENSG00000167721.10,TSR1,34,177.1434801
ENSG00000167842.15,MIS12,34,178.5125547
ENSG00000167881.14,SRP68,34,198.5979558
ENSG00000167962.13,ZNF598,34,185.249713
ENSG00000167967.15,E4F1,34,158.9445132
ENSG00000168495.12,POLR3D,34,202.8803244
ENSG00000168724.14,DNAJC21,34,227.9519596
ENSG00000168795.4,ZBTB5,34,170.3767809
ENSG00000168827.14,GFM1,34,177.5667558
ENSG00000168872.16,DDX19A,34,270.2491288
