gene_id,gene,module,kTotal_input
ENSG00000103091.14,WDR59,34,191.5203442
ENSG00000103275.19,UBE2I,34,223.2750153
ENSG00000103356.15,EARS2,34,160.3041372
ENSG00000103423.13,DNAJA3,34,256.4845006
ENSG00000103591.12,AAGAB,34,229.946176
ENSG00000103932.11,RPAP1,34,175.9405847
ENSG00000104164.10,BLOC1S6,34,228.3338303
ENSG00000104228.12,TRIM35,34,201.5371096
ENSG00000104299.14,INTS9,34,218.626748
ENSG00000104365.13,IKBKB,34,243.5754813
ENSG00000104442.9,ARMC1,34,177.932542
ENSG00000104613.11,INTS10,34,259.0044408
ENSG00000104853.15,CLPTM1,34,158.9909189
ENSG00000104980.7,TIMM44,34,163.3191429
ENSG00000105127.8,AKAP8,34,289.6047933
ENSG00000105171.9,POP4,34,160.6545673
ENSG00000105176.17,URI1,34,245.0013372
ENSG00000105197.10,TIMM50,34,166.5316723
ENSG00000105298.13,CACTIN,34,228.6919344
ENSG00000105341.18,ATP5SL,34,159.7828307
ENSG00000105576.15,TNPO2,34,178.36869
ENSG00000105618.13,PRPF31,34,171.6695753
ENSG00000105705.15,SUGP1,34,216.5014269
ENSG00000105726.16,ATP13A1,34,185.4542157
ENSG00000105819.13,PMPCB,34,294.4229529
ENSG00000105821.14,DNAJC2,34,187.2970464
ENSG00000106100.10,NOD1,34,177.1630392
ENSG00000106244.12,PDAP1,34,195.8145747
ENSG00000106246.17,PTCD1,34,191.2647781
ENSG00000106290.14,TAF6,34,160.051029
ENSG00000106344.8,RBM28,34,218.1327918
ENSG00000106346.11,USP42,34,176.4488223
ENSG00000106524.8,ANKMY2,34,184.1090868
ENSG00000106609.16,TMEM248,34,329.0120583
ENSG00000106635.7,BCL7B,34,204.8609488
ENSG00000106682.14,EIF4H,34,234.3485216
ENSG00000106723.16,SPIN1,34,191.8285794
ENSG00000107021.15,TBC1D13,34,164.5235615
ENSG00000107164.15,FUBP3,34,263.0936832
ENSG00000107362.13,ABHD17B,34,169.3778643
ENSG00000107404.19,DVL1,34,183.0725765
ENSG00000107581.12,EIF3A,34,191.0985499
ENSG00000107625.12,DDX50,34,225.0712722
ENSG00000107643.15,MAPK8,34,164.4921527
ENSG00000107651.12,SEC23IP,34,312.9810412
ENSG00000107669.17,ATE1,34,202.3170088
ENSG00000107672.14,NSMCE4A,34,181.5469665
ENSG00000107758.15,PPP3CB,34,270.9148329
ENSG00000107862.4,GBF1,34,165.6189842
ENSG00000107937.18,GTPBP4,34,267.378898
ENSG00000107951.14,MTPAP,34,194.5710919
ENSG00000108021.19,FAM208B,34,225.0463536
ENSG00000108312.14,UBTF,34,197.3849489
ENSG00000108395.13,TRIM37,34,171.5237149
ENSG00000108433.16,GOSR2,34,191.9633485
ENSG00000108443.13,RPS6KB1,34,300.2435749
ENSG00000108559.11,NUP88,34,172.4824233
ENSG00000108578.14,BLMH,34,187.9976356
ENSG00000108591.9,DRG2,34,234.7891928
ENSG00000108604.15,SMARCD2,34,217.2042222
ENSG00000108651.9,UTP6,34,240.7382223
ENSG00000108671.9,PSMD11,34,199.5146795
ENSG00000109065.11,NAT9,34,165.9050185
ENSG00000109606.12,DHX15,34,372.3338677
ENSG00000109618.11,SEPSECS,34,164.7096528
ENSG00000109670.13,FBXW7,34,180.0316333
ENSG00000109689.15,STIM2,34,194.9706863
ENSG00000109917.10,ZPR1,34,212.8928827
ENSG00000109920.12,FNBP4,34,195.5426543
ENSG00000110048.11,OSBP,34,332.8355381
ENSG00000110107.8,PRPF19,34,164.5319868
ENSG00000110108.9,TMEM109,34,176.6436662
ENSG00000110274.15,CEP164,34,164.818869
ENSG00000110435.11,PDHX,34,177.7881043
ENSG00000110583.12,NAA40,34,201.2521114
ENSG00000110696.9,C11orf58,34,288.1592053
ENSG00000110851.11,PRDM4,34,166.114162
ENSG00000110925.6,CSRNP2,34,213.0916709
ENSG00000111145.7,ELK3,34,190.2797384
ENSG00000111203.11,ITFG2,34,226.0502521
ENSG00000111300.9,NAA25,34,210.3807424
ENSG00000111358.13,GTF2H3,34,193.6161167
ENSG00000111361.12,EIF2B1,34,270.4031466
ENSG00000111364.15,DDX55,34,250.6960302
ENSG00000111412.5,C12orf49,34,170.3469476
ENSG00000111481.9,COPZ1,34,162.3705952
ENSG00000111530.12,CAND1,34,308.2188294
ENSG00000111581.9,NUP107,34,196.6379257
ENSG00000111596.11,CNOT2,34,316.9015613
ENSG00000111605.16,CPSF6,34,293.202954
ENSG00000111615.13,KRR1,34,183.1898875
ENSG00000111652.9,COPS7A,34,230.2818786
ENSG00000111667.13,USP5,34,160.6746707
ENSG00000111711.9,GOLT1B,34,194.8653617
ENSG00000111880.15,RNGTT,34,190.8408803
ENSG00000112144.15,ICK,34,210.6586933
ENSG00000112159.11,MDN1,34,165.0565841
ENSG00000112249.13,ASCC3,34,170.4453916
ENSG00000112365.4,ZBTB24,34,202.5151075
ENSG00000112592.13,TBP,34,302.5673821
ENSG00000112685.13,EXOC2,34,210.5321663
ENSG00000112992.16,NNT,34,191.6004328
ENSG00000112996.10,MRPS30,34,219.4830705
ENSG00000113013.12,HSPA9,34,205.7302032
ENSG00000113048.16,MRPS27,34,271.9641613
ENSG00000113360.16,DROSHA,34,208.7394412
ENSG00000113456.18,RAD1,34,196.1181716
ENSG00000113522.13,RAD50,34,221.9233995
ENSG00000113569.15,NUP155,34,214.3705654
ENSG00000113583.7,C5orf15,34,265.2106344
ENSG00000113621.14,TXNDC15,34,235.7403383
ENSG00000113643.8,RARS,34,167.4720156
ENSG00000113649.11,TCERG1,34,242.9190023
ENSG00000113658.16,SMAD5,34,163.3531425
ENSG00000113716.12,HMGXB3,34,180.7947496
ENSG00000113812.13,ACTR8,34,193.3628269
ENSG00000113838.12,TBCCD1,34,185.3987246
ENSG00000114062.18,UBE3A,34,239.3475538
ENSG00000114439.18,BBX,34,219.7437369
ENSG00000114503.10,NCBP2,34,308.0955612
ENSG00000114544.16,SLC41A3,34,181.4567137
ENSG00000114850.6,SSR3,34,162.21416
ENSG00000114982.17,KANSL3,34,180.869765
ENSG00000115053.15,NCL,34,186.7575171
ENSG00000115073.7,ACTR1B,34,187.5333039
ENSG00000115207.13,GTF3C2,34,240.5274541
ENSG00000115211.15,EIF2B4,34,165.812623
ENSG00000115239.21,ASB3,34,233.4199428
ENSG00000115241.10,PPM1G,34,168.1577297
ENSG00000115275.11,MOGS,34,207.7944252
ENSG00000115282.19,TTC31,34,239.9509643
ENSG00000115365.11,LANCL1,34,176.3282257
ENSG00000115368.9,WDR75,34,231.7121816
ENSG00000115419.12,GLS,34,229.8221406
ENSG00000115568.15,ZNF142,34,200.8374972
ENSG00000115694.14,STK25,34,226.2038611
ENSG00000115761.15,NOL10,34,197.5031935
ENSG00000115806.12,GORASP2,34,248.7103419
ENSG00000115825.9,PRKD3,34,234.3854625
ENSG00000115827.13,DCAF17,34,211.6755392
ENSG00000115866.10,DARS,34,181.1688406
ENSG00000115966.16,ATF2,34,187.2926946
ENSG00000116062.14,MSH6,34,172.6297977
ENSG00000116138.12,DNAJC16,34,250.0855504
ENSG00000116171.17,SCP2,34,174.6562261
ENSG00000116455.13,WDR77,34,202.5077987
ENSG00000116478.11,HDAC1,34,227.5494958
ENSG00000116521.10,SCAMP3,34,161.7964704
ENSG00000116560.10,SFPQ,34,254.2307702
ENSG00000116580.18,GON4L,34,161.0560433
ENSG00000116750.13,UCHL5,34,240.7909613
ENSG00000116754.13,SRSF11,34,247.3151222
ENSG00000116957.12,TBCE,34,163.4486713
ENSG00000116984.12,MTR,34,161.2487005
ENSG00000117133.10,RPF1,34,163.3974738
ENSG00000117360.12,PRPF3,34,175.0177681
ENSG00000117362.12,APH1A,34,193.3427791
ENSG00000117385.15,P3H1,34,199.5831885
ENSG00000117533.14,VAMP4,34,220.4781121
ENSG00000117640.17,MTFR1L,34,208.2093024
ENSG00000117682.16,DHDDS,34,247.3265235
ENSG00000117868.15,ESYT2,34,222.2813956
ENSG00000117899.10,MESDC2,34,225.9881142
ENSG00000118246.13,FASTKD2,34,167.589268
ENSG00000118363.11,SPCS2,34,186.628619
ENSG00000118454.12,ANKRD13C,34,161.7550333
ENSG00000119041.10,GTF3C3,34,238.6386861
ENSG00000119231.10,SENP5,34,278.9361863
ENSG00000119285.10,HEATR1,34,173.4996769
ENSG00000119335.16,SET,34,206.7929606
ENSG00000119487.16,MAPKAP1,34,261.8454509
ENSG00000119523.9,ALG2,34,261.2709789
ENSG00000119688.20,ABCD4,34,217.146444
ENSG00000119689.14,DLST,34,284.488518
ENSG00000119707.13,RBM25,34,242.507623
ENSG00000119725.18,ZNF410,34,188.7217003
ENSG00000119760.15,SUPT7L,34,283.0957165
ENSG00000119912.15,IDE,34,199.9668306
ENSG00000119977.20,TCTN3,34,182.216588
ENSG00000120008.15,WDR11,34,236.5374208
ENSG00000120029.12,C10orf76,34,239.2656029
ENSG00000120159.11,CAAP1,34,166.8632245
ENSG00000120253.13,NUP43,34,167.0184874
ENSG00000120314.18,WDR55,34,230.5181801
ENSG00000120686.11,UFM1,34,245.2359579
ENSG00000120798.16,NR2C1,34,172.8587678
ENSG00000120802.13,TMPO,34,159.5277491
ENSG00000120805.13,ARL1,34,171.3515633
ENSG00000120948.16,TARDBP,34,330.9263572
ENSG00000120963.11,ZNF706,34,188.2725754
ENSG00000121057.12,AKAP1,34,182.3194131
ENSG00000121058.4,COIL,34,256.8829595
ENSG00000121671.11,CRY2,34,219.0865732
ENSG00000121774.17,KHDRBS1,34,274.416143
ENSG00000121892.14,PDS5A,34,310.7990154
ENSG00000122068.12,FYTTD1,34,195.2205124
ENSG00000122376.11,FAM35A,34,203.3189891
ENSG00000122390.17,NAA60,34,168.7064441
ENSG00000122512.14,PMS2,34,171.6944893
ENSG00000122912.14,SLC25A16,34,224.9951324
ENSG00000122958.14,VPS26A,34,186.987811
ENSG00000122965.10,RBM19,34,199.571283
ENSG00000123064.12,DDX54,34,183.470118
ENSG00000123124.13,WWP1,34,189.4242622
ENSG00000123268.8,ATF1,34,200.3556209
ENSG00000123607.14,TTC21B,34,173.6718074
ENSG00000123737.12,EXOSC9,34,187.0903865
ENSG00000124160.11,NCOA5,34,195.1478586
ENSG00000124193.14,SRSF6,34,265.3230826
ENSG00000124198.8,ARFGEF2,34,180.9924102
ENSG00000124207.16,CSE1L,34,175.080938
ENSG00000124226.10,RNF114,34,165.2736516
ENSG00000124380.10,SNRNP27,34,178.9159208
ENSG00000124383.8,MPHOSPH10,34,190.3502208
ENSG00000124532.14,MRS2,34,278.1718852
ENSG00000124535.15,WRNIP1,34,233.7269759
ENSG00000124541.6,RRP36,34,192.2807337
ENSG00000124571.17,XPO5,34,251.0531526
ENSG00000124574.14,ABCC10,34,172.6993262
ENSG00000124596.16,OARD1,34,195.3882862
ENSG00000124608.4,AARS2,34,181.8896887
ENSG00000124784.8,RIOK1,34,239.1862905
ENSG00000124795.14,DEK,34,188.2172098
ENSG00000125386.15,FAM193A,34,169.5119467
ENSG00000125447.16,GGA3,34,162.5637009
ENSG00000125450.10,NUP85,34,172.4932646
ENSG00000125482.12,TTF1,34,226.2365659
ENSG00000125485.17,DDX31,34,159.4908294
ENSG00000125686.11,MED1,34,213.7602705
ENSG00000125755.18,SYMPK,34,169.7358963
ENSG00000125944.18,HNRNPR,34,246.6531338
ENSG00000125977.6,EIF2S2,34,167.4219066
ENSG00000126001.15,CEP250,34,167.1218898
ENSG00000126226.21,PCID2,34,216.1410044
ENSG00000126261.12,UBA2,34,239.4739683
